fiscal_year,Query_Run,Customer,SubCustomer,productorservicearea,FundingMechanismClassification,SumOfobligatedAmount,SumOfnumberOfActions
1990,08:22.5,Defense,Army,FRS&C,Cost Plus Fixed Fee,34253000,NULL
NULL,08:22.5,Defense,Army,NULL,NULL,NULL,NULL
1988,08:22.5,Defense,Army,FRS&C,Firm Fixed Price,-35000,NULL
1988,08:22.5,Defense,Navy,Engines & Power Plants,Firm Fixed Price,-263000,NULL
1989,08:22.5,Defense,Army,FRS&C,Cost Plus Award Fee,13964000,NULL
1989,08:22.5,Defense,Army,ICT,Firm Fixed Price,70000,NULL
1989,08:22.5,Defense,Army,Ships,Firm Fixed Price,11018000,NULL
1989,08:22.5,Defense,Navy,Engines & Power Plants,NULL,7816000,NULL
1989,08:22.5,Defense,Navy,ERS,Firm Fixed Price,130881000,NULL
1989,08:22.5,Defense,Navy,ERS,Fixed Price Incentive,4500000,NULL
1989,08:22.5,Defense,Navy,Fuels,Firm Fixed Price,39000,NULL
1989,08:22.5,Defense,Navy,ICT,Labor Hours,41000,NULL
1989,08:22.5,Defense,Navy,Launchers & Munitions,Fixed Price Incentive,315000,NULL
1989,08:22.5,Defense,Navy,Other,Firm Fixed Price,14595000,NULL
1989,08:22.5,Defense,Navy,Other,Fixed Price Incentive,-146000,NULL
1989,08:22.5,Defense,Navy,PAMS,Cost Plus Award Fee,14275000,NULL
1989,08:22.5,Defense,Navy,PAMS,Labor Hours,2051000,NULL
1989,08:22.5,Defense,Navy,Ships,NULL,4124000,NULL
1989,08:22.5,Defense,Navy,Ships,Cost Plus Award Fee,13723000,NULL
1989,08:22.5,Defense,Other DoD,ICT,Firm Fixed Price,205000,NULL
1989,08:22.5,Defense,Other DoD,R&D,Cost Plus Incentive,2921000,NULL
1990,08:22.5,Defense,Air Force,Aircraft,Labor Hours,2753000,NULL
1990,08:22.5,Defense,Air Force,Electronics & Communications,Cost Plus Fixed Fee,12088000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,Cost Plus Incentive,13281000,NULL
1990,08:22.5,Defense,Air Force,Ground Vehicles,NULL,106699000,NULL
1990,08:22.5,Defense,Air Force,Ground Vehicles,Time and Materials,1834000,NULL
1990,08:22.5,Defense,Air Force,Launchers & Munitions,NULL,74576000,NULL
1990,08:22.5,Defense,Air Force,Launchers & Munitions,Time and Materials,1081000,NULL
1990,08:22.5,Defense,Air Force,Missiles & Space,Fixed Price Incentive,1358317000,NULL
1990,08:22.5,Defense,Air Force,PAMS,Cost Plus Award Fee,290522000,NULL
1990,08:22.5,Defense,Air Force,PAMS,Cost Plus Fixed Fee,903523000,NULL
1990,08:22.5,Defense,Air Force,R&D,Firm Fixed Price,2632195000,NULL
1990,08:22.5,Defense,Air Force,R&D,Fixed Price Incentive,3610957000,NULL
1990,08:22.5,Defense,Army,Aircraft,Fixed Price Redetermination,72000,NULL
1990,08:22.5,Defense,Army,Clothing & Subsistence,NULL,81941000,NULL
1990,08:22.5,Defense,Army,Electronics & Communications,Firm Fixed Price,1067206000,NULL
1990,08:22.5,Defense,Army,Electronics & Communications,Fixed Price Redetermination,941000,NULL
1990,08:22.5,Defense,Army,Engines & Power Plants,Fixed Price with Economic Price Adjustment,10777000,NULL
1990,08:22.5,Defense,Army,ERS,Fixed Price Incentive,9658000,NULL
1990,08:22.5,Defense,Army,FRS&C,NULL,130201000,NULL
1990,08:22.5,Defense,Army,FRS&C,Time and Materials,1207000,NULL
1990,08:22.5,Defense,Army,Ground Vehicles,Cost No Fee,9231000,NULL
1990,08:22.5,Defense,Army,Ground Vehicles,Fixed Price with Economic Price Adjustment,33499000,NULL
1990,08:22.5,Defense,Army,ICT,Cost No Fee,670000,NULL
1990,08:22.5,Defense,Army,ICT,Cost Plus Award Fee,64327000,NULL
1988,08:22.5,Defense,Navy,Launchers & Munitions,Firm Fixed Price,363000,NULL
1988,08:22.5,Defense,Navy,Missiles & Space,Firm Fixed Price,1486000,NULL
1988,08:22.5,Defense,Navy,Other,Cost Plus Fixed Fee,43000,NULL
1988,08:22.5,Defense,Navy,R&D,Cost Plus Fixed Fee,311000,NULL
1989,08:22.5,Defense,Army,Engines & Power Plants,NULL,352000,NULL
1989,08:22.5,Defense,Army,Other,NULL,141000,NULL
1989,08:22.5,Defense,Navy,ICT,Cost Plus Fixed Fee,824000,NULL
1989,08:22.5,Defense,Navy,ICT,Firm Fixed Price,9333000,NULL
1989,08:22.5,Defense,Navy,Launchers & Munitions,Cost Plus Fixed Fee,957000,NULL
1989,08:22.5,Defense,Navy,Missiles & Space,Cost Plus Fixed Fee,871000,NULL
1989,08:22.5,Defense,Navy,Other,Fixed Price Redetermination,58000,NULL
1989,08:22.5,Defense,Navy,R&D,Cost Plus Award Fee,3570000,NULL
1989,08:22.5,Defense,Navy,Ships,Fixed Price with Economic Price Adjustment,1233000,NULL
1989,08:22.5,Defense,Other DoD,ERS,Firm Fixed Price,801000,NULL
1989,08:22.5,Defense,Other DoD,ICT,Time and Materials,35000,NULL
1989,08:22.5,Defense,Other DoD,Other,Firm Fixed Price,993000,NULL
1989,08:22.5,Defense,Other DoD,R&D,Cost No Fee,330000,NULL
1989,08:22.5,Defense,Other DoD,R&D,Labor Hours,8000,NULL
1990,08:22.5,Defense,Air Force,Aircraft,Fixed Price Redetermination,1202000,NULL
1990,08:22.5,Defense,Air Force,Electronics & Communications,Cost No Fee,1215000,NULL
1990,08:22.5,Defense,Air Force,Electronics & Communications,Cost Plus Incentive,561000,NULL
1990,08:22.5,Defense,Air Force,Engines & Power Plants,NULL,3295219000,NULL
1990,08:22.5,Defense,Air Force,Engines & Power Plants,Firm Fixed Price,26526000,NULL
1990,08:22.5,Defense,Air Force,ERS,Firm Fixed Price,830037000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,NULL,93017000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,Cost No Fee,343352000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,Labor Hours,2890000,NULL
1990,08:22.5,Defense,Air Force,ICT,Cost Plus Award Fee,141974000,NULL
1990,08:22.5,Defense,Air Force,Other,Cost Plus Fixed Fee,788671000,NULL
1990,08:22.5,Defense,Air Force,Other,Firm Fixed Price,1451857000,NULL
1990,08:22.5,Defense,Air Force,PAMS,NULL,386672000,NULL
1990,08:22.5,Defense,Air Force,PAMS,Labor Hours,154872000,NULL
1990,08:22.5,Defense,Air Force,R&D,NULL,64225000,NULL
1990,08:22.5,Defense,Army,NULL,NULL,NULL,NULL
1990,08:22.5,Defense,Army,Aircraft,NULL,875690000,NULL
1990,08:22.5,Defense,Army,Aircraft,Labor Hours,2281000,NULL
1990,08:22.5,Defense,Army,Electronics & Communications,Cost Plus Incentive,2871000,NULL
1990,08:22.5,Defense,Army,Engines & Power Plants,Firm Fixed Price,117166000,NULL
1990,08:22.5,Defense,Army,ERS,Cost Plus Fixed Fee,201038000,NULL
1990,08:22.5,Defense,Army,ERS,Firm Fixed Price,295479000,NULL
1990,08:22.5,Defense,Army,FRS&C,Cost Plus Incentive,31697000,NULL
1990,08:22.5,Defense,Army,Fuels,NULL,3029000,NULL
1990,08:22.5,Defense,Army,Fuels,Firm Fixed Price,2415000,NULL
1990,08:22.5,Defense,Army,ICT,Fixed Price Incentive,275000,NULL
1990,08:22.5,Defense,Army,Launchers & Munitions,NULL,129672000,NULL
NULL,08:22.5,Defense,Navy,NULL,NULL,NULL,NULL
1988,08:22.5,Defense,Navy,Aircraft,Firm Fixed Price,-205000,NULL
1988,08:22.5,Defense,Navy,FRS&C,Firm Fixed Price,661000,NULL
1988,08:22.5,Defense,Other DoD,R&D,Cost Plus Fixed Fee,200000,NULL
1989,08:22.5,Defense,Army,FRS&C,Time and Materials,30000,NULL
1989,08:22.5,Defense,Navy,Engines & Power Plants,Firm Fixed Price,182000,NULL
1989,08:22.5,Defense,Navy,ERS,Labor Hours,218000,NULL
1989,08:22.5,Defense,Navy,FRS&C,Cost Plus Award Fee,-78000,NULL
1989,08:22.5,Defense,Navy,FRS&C,Cost Plus Fixed Fee,55000,NULL
1989,08:22.5,Defense,Navy,Other,NULL,7429000,NULL
1989,08:22.5,Defense,Navy,PAMS,NULL,1912000,NULL
1989,08:22.5,Defense,Navy,Ships,Firm Fixed Price,2650000,NULL
1989,08:22.5,Defense,Other DoD,FRS&C,Fixed Price Redetermination,430000,NULL
1989,08:22.5,Defense,Other DoD,ICT,Cost Plus Fixed Fee,14279000,NULL
1990,08:22.5,Defense,Air Force,NULL,NULL,NULL,NULL
1990,08:22.5,Defense,Air Force,Aircraft,NULL,2575041000,NULL
1990,08:22.5,Defense,Air Force,Electronics & Communications,Fixed Price Incentive,709857000,NULL
1990,08:22.5,Defense,Air Force,Electronics & Communications,Fixed Price Redetermination,47304000,NULL
1990,08:22.5,Defense,Air Force,ERS,Cost Plus Fixed Fee,27427000,NULL
1990,08:22.5,Defense,Air Force,ERS,Fixed Price with Economic Price Adjustment,35833000,NULL
1990,08:22.5,Defense,Air Force,ERS,Time and Materials,145606000,NULL
1990,08:22.5,Defense,Air Force,Fuels,NULL,94206000,NULL
1990,08:22.5,Defense,Air Force,ICT,Cost Plus Fixed Fee,26743000,NULL
1990,08:22.5,Defense,Air Force,Launchers & Munitions,Labor Hours,45000,NULL
1990,08:22.5,Defense,Air Force,Missiles & Space,Cost Plus Award Fee,37456000,NULL
1990,08:22.5,Defense,Air Force,Other,Time and Materials,65849000,NULL
1990,08:22.5,Defense,Air Force,PAMS,Fixed Price Redetermination,1681000,NULL
1990,08:22.5,Defense,Air Force,R&D,Cost Plus Award Fee,921990000,NULL
1990,08:22.5,Defense,Air Force,R&D,Fixed Price with Economic Price Adjustment,10497000,NULL
1990,08:22.5,Defense,Army,Aircraft,Cost Plus Award Fee,1630000,NULL
1990,08:22.5,Defense,Army,Aircraft,Fixed Price with Economic Price Adjustment,269388000,NULL
1990,08:22.5,Defense,Army,Electronics & Communications,NULL,548591000,NULL
1990,08:22.5,Defense,Army,Engines & Power Plants,Fixed Price Incentive,307000,NULL
1990,08:22.5,Defense,Army,Engines & Power Plants,Time and Materials,37000,NULL
1990,08:22.5,Defense,Army,ERS,Cost Sharing,5796000,NULL
1990,08:22.5,Defense,Army,FRS&C,Cost No Fee,24407000,NULL
1990,08:22.5,Defense,Army,Fuels,Fixed Price with Economic Price Adjustment,8408000,NULL
1990,08:22.5,Defense,Army,Ground Vehicles,Cost Plus Incentive,212000,NULL
1990,08:22.5,Defense,Army,Ground Vehicles,Firm Fixed Price,524226000,NULL
1990,08:22.5,Defense,Army,Launchers & Munitions,Cost Plus Incentive,300000,NULL
1990,08:22.5,Defense,Army,Missiles & Space,Fixed Price Redetermination,299000,NULL
1990,08:22.5,Defense,Army,PAMS,NULL,298619000,NULL
1990,08:22.5,Defense,Army,R&D,Cost Sharing,28470000,NULL
1990,08:22.5,Defense,Army,R&D,Fixed Price Redetermination,1705000,NULL
NULL,08:22.5,Defense,Air Force,NULL,NULL,NULL,NULL
1988,08:22.5,Defense,Navy,Aircraft,Fixed Price Incentive,38000,NULL
1988,08:22.5,Defense,Navy,Electronics & Communications,Cost Plus Fixed Fee,797000,NULL
1988,08:22.5,Defense,Navy,Electronics & Communications,Firm Fixed Price,858000,NULL
1988,08:22.5,Defense,Navy,R&D,Cost No Fee,148000,NULL
1989,08:22.5,Defense,Army,ERS,Cost No Fee,499000,NULL
1989,08:22.5,Defense,Army,PAMS,Cost Plus Fixed Fee,456000,NULL
1989,08:22.5,Defense,Army,PAMS,Firm Fixed Price,403000,NULL
1989,08:22.5,Defense,Army,R&D,Firm Fixed Price,97000,NULL
1989,08:22.5,Defense,Navy,Aircraft,NULL,6682000,NULL
1989,08:22.5,Defense,Navy,Aircraft,Time and Materials,310000,NULL
1989,08:22.5,Defense,Navy,Electronics & Communications,Cost Plus Fixed Fee,1257000,NULL
1989,08:22.5,Defense,Navy,ERS,Cost Plus Fixed Fee,10173000,NULL
1989,08:22.5,Defense,Navy,PAMS,Cost No Fee,1415000,NULL
1989,08:22.5,Defense,Navy,R&D,Fixed Price Incentive,208000,NULL
1989,08:22.5,Defense,Other DoD,PAMS,Cost Plus Fixed Fee,299000,NULL
1989,08:22.5,Defense,Other DoD,R&D,Cost Plus Award Fee,2110000,NULL
1990,08:22.5,Defense,Air Force,Aircraft,Cost Plus Incentive,2803000,NULL
1990,08:22.5,Defense,Air Force,Clothing & Subsistence,NULL,50195000,NULL
1990,08:22.5,Defense,Air Force,Electronics & Communications,Firm Fixed Price,1427327000,NULL
1990,08:22.5,Defense,Air Force,Engines & Power Plants,Fixed Price Incentive,-812000,NULL
1990,08:22.5,Defense,Air Force,ERS,Fixed Price Incentive,215570000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,Cost Plus Award Fee,362885000,NULL
1990,08:22.5,Defense,Air Force,Fuels,Fixed Price with Economic Price Adjustment,29000,NULL
1990,08:22.5,Defense,Air Force,ICT,Cost No Fee,7166000,NULL
1990,08:22.5,Defense,Air Force,ICT,Cost Sharing,83000,NULL
1990,08:22.5,Defense,Air Force,ICT,Labor Hours,14084000,NULL
1990,08:22.5,Defense,Air Force,MED,Fixed Price with Economic Price Adjustment,403000,NULL
1990,08:22.5,Defense,Air Force,Other,Fixed Price Incentive,209289000,NULL
1990,08:22.5,Defense,Air Force,Other,Fixed Price with Economic Price Adjustment,18940000,NULL
1990,08:22.5,Defense,Air Force,PAMS,Cost Sharing,199000,NULL
1990,08:22.5,Defense,Air Force,R&D,Cost Plus Incentive,354779000,NULL
1990,08:22.5,Defense,Air Force,Ships,Firm Fixed Price,4373000,NULL
1990,08:22.5,Defense,Army,ERS,Time and Materials,53192000,NULL
1990,08:22.5,Defense,Army,FRS&C,Fixed Price Redetermination,24779000,NULL
1990,08:22.5,Defense,Army,Ground Vehicles,NULL,1881201000,NULL
1990,08:22.5,Defense,Army,MED,Cost No Fee,8603000,NULL
1990,08:22.5,Defense,Army,MED,Fixed Price with Economic Price Adjustment,874000,NULL
1990,08:22.5,Defense,Army,Missiles & Space,Cost Plus Award Fee,28090000,NULL
1990,08:22.5,Defense,Army,Missiles & Space,Cost Sharing,300000,NULL
1990,08:22.5,Defense,Army,PAMS,Cost Plus Award Fee,223999000,NULL
1990,08:22.5,Defense,Army,PAMS,Cost Plus Fixed Fee,320772000,NULL
1990,08:22.5,Defense,Army,R&D,Cost Plus Award Fee,94349000,NULL
NULL,08:22.5,Defense,Air Force,NULL,Firm Fixed Price,259871,1
1987,08:22.5,Defense,Army,ICT,Firm Fixed Price,-171000,NULL
1988,08:22.5,Defense,Navy,MED,Firm Fixed Price,25000,NULL
1988,08:22.5,Defense,Other DoD,R&D,Time and Materials,58000,NULL
1989,08:22.5,Defense,Army,MED,Firm Fixed Price,51000,NULL
1989,08:22.5,Defense,Navy,Aircraft,Firm Fixed Price,59618000,NULL
1989,08:22.5,Defense,Navy,FRS&C,Firm Fixed Price,293591000,NULL
1989,08:22.5,Defense,Navy,FRS&C,Fixed Price Redetermination,114000,NULL
1989,08:22.5,Defense,Navy,Launchers & Munitions,NULL,16306000,NULL
1989,08:22.5,Defense,Navy,PAMS,Cost Plus Fixed Fee,19890000,NULL
1989,08:22.5,Defense,Navy,R&D,NULL,96000,NULL
1989,08:22.5,Defense,Navy,R&D,Cost No Fee,39000,NULL
1989,08:22.5,Defense,Navy,R&D,Time and Materials,159000,NULL
1989,08:22.5,Defense,Other DoD,Electronics & Communications,Cost Plus Fixed Fee,953000,NULL
1989,08:22.5,Defense,Other DoD,Other,Cost Plus Fixed Fee,500000,NULL
1990,08:22.5,Defense,Air Force,Clothing & Subsistence,Firm Fixed Price,95601000,NULL
1990,08:22.5,Defense,Air Force,Electronics & Communications,Fixed Price with Economic Price Adjustment,158790000,NULL
1990,08:22.5,Defense,Air Force,Electronics & Communications,Labor Hours,11147000,NULL
1990,08:22.5,Defense,Air Force,ERS,Fixed Price Redetermination,118000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,Firm Fixed Price,1774677000,NULL
1990,08:22.5,Defense,Air Force,Fuels,Firm Fixed Price,428000,NULL
1990,08:22.5,Defense,Air Force,Ground Vehicles,Firm Fixed Price,17649000,NULL
1990,08:22.5,Defense,Air Force,Ground Vehicles,Fixed Price Incentive,-35000,NULL
1990,08:22.5,Defense,Air Force,ICT,Fixed Price Incentive,10614000,NULL
1990,08:22.5,Defense,Air Force,ICT,Time and Materials,34338000,NULL
1990,08:22.5,Defense,Air Force,Launchers & Munitions,Fixed Price Incentive,2657000,NULL
1990,08:22.5,Defense,Air Force,Launchers & Munitions,Fixed Price Redetermination,1212000,NULL
1990,08:22.5,Defense,Air Force,Missiles & Space,NULL,232244000,NULL
1990,08:22.5,Defense,Air Force,Missiles & Space,Time and Materials,1233000,NULL
1990,08:22.5,Defense,Air Force,Other,Cost Plus Incentive,25107000,NULL
1990,08:22.5,Defense,Air Force,PAMS,Fixed Price with Economic Price Adjustment,691000,NULL
1990,08:22.5,Defense,Air Force,R&D,Fixed Price Redetermination,370748000,NULL
1990,08:22.5,Defense,Air Force,Ships,NULL,789000,NULL
1990,08:22.5,Defense,Army,Aircraft,Firm Fixed Price,2022775000,NULL
1990,08:22.5,Defense,Army,Aircraft,Fixed Price Incentive,933000,NULL
1990,08:22.5,Defense,Army,Engines & Power Plants,Cost Plus Fixed Fee,2112000,NULL
1990,08:22.5,Defense,Army,ERS,NULL,20570000,NULL
1990,08:22.5,Defense,Army,FRS&C,Fixed Price Incentive,682000,NULL
1990,08:22.5,Defense,Army,Ground Vehicles,Cost Plus Fixed Fee,9476000,NULL
1990,08:22.5,Defense,Army,ICT,Cost Plus Fixed Fee,58521000,NULL
1990,08:22.5,Defense,Army,Launchers & Munitions,Cost Plus Fixed Fee,4629000,NULL
1990,08:22.5,Defense,Army,MED,Cost Plus Fixed Fee,1750000,NULL
1990,08:22.5,Defense,Army,Missiles & Space,Fixed Price with Economic Price Adjustment,421977000,NULL
1988,08:22.5,Defense,Navy,ICT,Firm Fixed Price,57000,NULL
1989,08:22.5,Defense,Army,NULL,NULL,NULL,NULL
1989,08:22.5,Defense,Army,Ground Vehicles,Firm Fixed Price,55582000,NULL
1989,08:22.5,Defense,Army,Missiles & Space,NULL,176174000,NULL
1989,08:22.5,Defense,Navy,Electronics & Communications,Fixed Price with Economic Price Adjustment,221000,NULL
1989,08:22.5,Defense,Navy,FRS&C,NULL,4084000,NULL
1989,08:22.5,Defense,Navy,Launchers & Munitions,Firm Fixed Price,1384000,NULL
1989,08:22.5,Defense,Navy,Other,Cost Plus Fixed Fee,1015000,NULL
1989,08:22.5,Defense,Navy,PAMS,Firm Fixed Price,35405000,NULL
1989,08:22.5,Defense,Navy,R&D,Cost Plus Fixed Fee,9721000,NULL
1989,08:22.5,Defense,Navy,R&D,Firm Fixed Price,8503000,NULL
1989,08:22.5,Defense,Navy,Ships,Fixed Price Incentive,30732000,NULL
1989,08:22.5,Defense,Other DoD,Electronics & Communications,Firm Fixed Price,1430000,NULL
1989,08:22.5,Defense,Other DoD,PAMS,Time and Materials,80000,NULL
1989,08:22.5,Defense,Other DoD,R&D,Cost Sharing,250000,NULL
1990,08:22.5,Defense,Air Force,Aircraft,Cost Plus Fixed Fee,68737000,NULL
1990,08:22.5,Defense,Air Force,Aircraft,Firm Fixed Price,4512777000,NULL
1990,08:22.5,Defense,Air Force,ERS,Cost Plus Award Fee,55780000,NULL
1990,08:22.5,Defense,Air Force,ERS,Cost Plus Incentive,283000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,Cost Sharing,28000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,Fixed Price Incentive,117174000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,Fixed Price with Economic Price Adjustment,114109000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,Time and Materials,51568000,NULL
1990,08:22.5,Defense,Air Force,ICT,NULL,19949000,NULL
1990,08:22.5,Defense,Air Force,ICT,Firm Fixed Price,534945000,NULL
1990,08:22.5,Defense,Air Force,ICT,Fixed Price Redetermination,1834000,NULL
1990,08:22.5,Defense,Air Force,Launchers & Munitions,Firm Fixed Price,120711000,NULL
1990,08:22.5,Defense,Air Force,MED,Firm Fixed Price,27212000,NULL
1990,08:22.5,Defense,Air Force,Missiles & Space,Cost Plus Fixed Fee,63277000,NULL
1990,08:22.5,Defense,Air Force,Missiles & Space,Firm Fixed Price,1108264000,NULL
1990,08:22.5,Defense,Air Force,Other,Fixed Price Redetermination,712000,NULL
1990,08:22.5,Defense,Air Force,PAMS,Time and Materials,445556000,NULL
1990,08:22.5,Defense,Air Force,R&D,Time and Materials,133916000,NULL
1990,08:22.5,Defense,Army,Aircraft,Time and Materials,40815000,NULL
1990,08:22.5,Defense,Army,Clothing & Subsistence,Cost Plus Fixed Fee,4904000,NULL
1990,08:22.5,Defense,Army,Clothing & Subsistence,Firm Fixed Price,103043000,NULL
1990,08:22.5,Defense,Army,Electronics & Communications,Cost Plus Fixed Fee,12033000,NULL
1990,08:22.5,Defense,Army,ERS,Fixed Price Redetermination,283000,NULL
1990,08:22.5,Defense,Army,FRS&C,Cost Sharing,4356000,NULL
1990,08:22.5,Defense,Army,ICT,NULL,9330000,NULL
1990,08:22.5,Defense,Army,Launchers & Munitions,Fixed Price Incentive,56000,NULL
1990,08:22.5,Defense,Army,Other,NULL,344595000,NULL
1990,08:22.5,Defense,Army,Other,Fixed Price Redetermination,355000,NULL
1990,08:22.5,Defense,Army,PAMS,Fixed Price Incentive,7556000,NULL
1988,08:22.5,Defense,Army,ICT,Firm Fixed Price,34000,NULL
1988,08:22.5,Defense,Navy,ERS,Firm Fixed Price,2935000,NULL
1988,08:22.5,Defense,Navy,Launchers & Munitions,Fixed Price Incentive,114000,NULL
1988,08:22.5,Defense,Navy,Other,Firm Fixed Price,-352330,NULL
1988,08:22.5,Defense,Navy,PAMS,Cost Plus Fixed Fee,283000,NULL
1988,08:22.5,Defense,Other DoD,Other,NULL,44000,NULL
1989,08:22.5,Defense,Army,Electronics & Communications,Firm Fixed Price,124000,NULL
1989,08:22.5,Defense,Army,ERS,Firm Fixed Price,538000,NULL
1989,08:22.5,Defense,Army,FRS&C,NULL,177000,NULL
1989,08:22.5,Defense,Army,Other,Firm Fixed Price,90000,NULL
1989,08:22.5,Defense,Navy,Electronics & Communications,NULL,10498000,NULL
1989,08:22.5,Defense,Navy,ERS,Cost Plus Award Fee,2113000,NULL
1989,08:22.5,Defense,Navy,ERS,Fixed Price with Economic Price Adjustment,347157000,NULL
1989,08:22.5,Defense,Navy,MED,Firm Fixed Price,156000,NULL
1989,08:22.5,Defense,Navy,Missiles & Space,Firm Fixed Price,3572000,NULL
1989,08:22.5,Defense,Navy,PAMS,Time and Materials,11407000,NULL
1989,08:22.5,Defense,Other DoD,FRS&C,Firm Fixed Price,3110000,NULL
1990,08:22.5,Defense,Air Force,Aircraft,Time and Materials,36364000,NULL
1990,08:22.5,Defense,Air Force,Electronics & Communications,Time and Materials,13222000,NULL
1990,08:22.5,Defense,Air Force,ERS,NULL,323778000,NULL
1990,08:22.5,Defense,Air Force,ERS,Cost No Fee,7181000,NULL
1990,08:22.5,Defense,Air Force,ICT,Cost Plus Incentive,78859000,NULL
1990,08:22.5,Defense,Air Force,ICT,Fixed Price with Economic Price Adjustment,3761000,NULL
1990,08:22.5,Defense,Air Force,Other,NULL,244983000,NULL
1990,08:22.5,Defense,Air Force,Other,Cost No Fee,6128000,NULL
1990,08:22.5,Defense,Air Force,PAMS,Firm Fixed Price,1080889000,NULL
1990,08:22.5,Defense,Air Force,PAMS,Fixed Price Incentive,45731000,NULL
1990,08:22.5,Defense,Air Force,R&D,Cost Plus Fixed Fee,2006982000,NULL
1990,08:22.5,Defense,Air Force,R&D,Labor Hours,18897000,NULL
1990,08:22.5,Defense,Army,Aircraft,Cost Plus Fixed Fee,12486000,NULL
1990,08:22.5,Defense,Army,Electronics & Communications,Cost Plus Award Fee,-75000,NULL
1990,08:22.5,Defense,Army,Engines & Power Plants,NULL,1236708000,NULL
1990,08:22.5,Defense,Army,ERS,Cost Plus Award Fee,39689000,NULL
