fiscal_year,Query_Run_Date,SubCustomer,ServicesCategory,CompetitionClassification,ClassifyNumberOfOffers,SumOfobligatedAmount,SumOfnumberOfActions
1991,18:19.4,Air Force,R&D,No Competition (Only One Source Exception),No competition,1638026000,NULL
1991,18:19.4,Army,ERS,No Competition (Only One Source Exception),No competition,295057000,NULL
1991,18:19.4,Army,Fuel,No Competition (Unlabeled Exception),No competition,3281000,NULL
1991,18:19.4,Army,MED,Limited Competition with multiple offers,Two Offers,115590000,NULL
1991,18:19.4,Army,MED,No Competition (Only One Source Exception),No competition,3990000,NULL
1991,18:19.4,Army,R&D,Competition with single offer,One Offer,246255000,NULL
1991,18:19.4,Army,R&D,No Competition (Only One Source Exception),No competition,1182882000,NULL
1991,18:19.4,Army,R&D,No Competition (Other Exception),No competition,329990000,NULL
1991,18:19.4,DLA,FRS&C,No Competition (Unlabeled Exception),No competition,1415000,NULL
1991,18:19.4,DLA,Fuel,No Competition (Unlabeled Exception),No competition,16184000,NULL
1991,18:19.4,DLA,PAMS,Competition with single offer,One Offer,348000,NULL
1991,18:19.4,DLA,R&D,Competition with single offer,One Offer,116000,NULL
1991,18:19.4,Navy,FRS&C,Competition with single offer,One Offer,112823357,NULL
1991,18:19.4,Navy,MED,No Competition (Unlabeled Exception),No competition,204000,NULL
1991,18:19.4,Navy,R&D,Limited Competition with multiple offers,Two Offers,1396596566,NULL
NULL,18:19.4,NULL,NULL,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,NULL,NULL
1988,18:19.4,Navy,PAMS,Competition with single offer,One Offer,85000,NULL
1988,18:19.4,Navy,PAMS,Limited Competition with multiple offers,Two Offers,198000,NULL
1988,18:19.4,Navy,Products,Limited Competition with multiple offers,Two Offers,779000,NULL
1989,18:19.4,Army,ERS,No Competition (Other Exception),No competition,499000,NULL
1989,18:19.4,Army,MED,Limited Competition with multiple offers,Two Offers,51000,NULL
1989,18:19.4,Army,PAMS,Limited Competition with multiple offers,Two Offers,859000,NULL
1989,18:19.4,Army,Products,No Competition (Only One Source Exception),No competition,47334000,NULL
1989,18:19.4,Navy,NULL,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,NULL,NULL
1989,18:19.4,Navy,ERS,Limited Competition with multiple offers,Two Offers,411731000,NULL
1989,18:19.4,Navy,FRS&C,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,4084000,NULL
1989,18:19.4,Navy,ICT,No Competition (Only One Source Exception),No competition,3163000,NULL
1989,18:19.4,Navy,ICT,No Competition (Unlabeled Exception),No competition,444000,NULL
1989,18:19.4,Navy,PAMS,No Competition (Other Exception),No competition,18670000,NULL
1989,18:19.4,Navy,R&D,Competition with single offer,One Offer,1946000,NULL
1989,18:19.4,Navy,R&D,Limited Competition with multiple offers,Two Offers,9579000,NULL
1989,18:19.4,Other DoD,PAMS,No Competition (Only One Source Exception),No competition,3157000,NULL
1989,18:19.4,Other DoD,R&D,No Competition (Other Exception),No competition,3345000,NULL
1990,18:19.4,Air Force,ERS,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,128355000,NULL
1990,18:19.4,Air Force,FRS&C,No Competition (Other Exception),No competition,206128000,NULL
1990,18:19.4,Air Force,ICT,Limited Competition with multiple offers,Two Offers,463622000,NULL
1990,18:19.4,Air Force,MED,No Competition (Only One Source Exception),No competition,414000,NULL
1990,18:19.4,Air Force,Products,Unlabeled: Competition; Unlabeled Offers,NULL,767037000,NULL
1990,18:19.4,Air Force,R&D,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,1633000,NULL
1990,18:19.4,Army,NULL,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,NULL,NULL
1990,18:19.4,Army,ERS,Competition with single offer,One Offer,97110000,NULL
1990,18:19.4,Army,ERS,Limited Competition with multiple offers,Two Offers,230762000,NULL
1990,18:19.4,Army,FRS&C,No Competition (Unlabeled Exception),No competition,165248000,NULL
1990,18:19.4,Army,Fuel,No Competition (Only One Source Exception),No competition,80000,NULL
1990,18:19.4,Army,Fuel,No Competition (Unlabeled Exception),No competition,313000,NULL
1990,18:19.4,Army,ICT,No Competition (Unlabeled Exception),No competition,61876000,NULL
1990,18:19.4,Army,MED,No Competition (Other Exception),No competition,6752000,NULL
1990,18:19.4,Army,R&D,Competition with single offer,One Offer,149511000,NULL
1990,18:19.4,Army,R&D,Unlabeled: Competition; Unlabeled Offers,NULL,7676000,NULL
1990,18:19.4,DLA,NULL,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,NULL,NULL
1990,18:19.4,DLA,ERS,Competition with single offer,One Offer,588000,NULL
1990,18:19.4,DLA,ERS,Limited Competition with multiple offers,Two Offers,104540000,NULL
1990,18:19.4,DLA,Fuel,No Competition (Unlabeled Exception),No competition,7467000,NULL
1990,18:19.4,DLA,R&D,Competition with single offer,One Offer,35000,NULL
1990,18:19.4,Navy,FRS&C,Unlabeled: Competition; Unlabeled Offers,NULL,12044000,NULL
1990,18:19.4,Navy,Fuel,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,7675000,NULL
1990,18:19.4,Navy,ICT,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,4180000,NULL
1990,18:19.4,Navy,PAMS,No Competition (Only One Source Exception),No competition,1185193781,NULL
1990,18:19.4,Navy,Products,No Competition (Only One Source Exception),No competition,7989960032,NULL
1990,18:19.4,Navy,Products,No Competition (Unlabeled Exception),No competition,1333027000,NULL
1990,18:19.4,Navy,R&D,No Competition (Other Exception),No competition,227196000,NULL
1990,18:19.4,Other DoD,ERS,No Competition (Only One Source Exception),No competition,1329000,NULL
1990,18:19.4,Other DoD,ERS,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,396000,NULL
1990,18:19.4,Other DoD,Products,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,20736000,NULL
1990,18:19.4,Other DoD,R&D,Competition with single offer,One Offer,188192000,NULL
1990,18:19.4,Other DoD,R&D,No Competition (Only One Source Exception),No competition,388548000,NULL
1991,18:19.4,Air Force,ERS,Unlabeled: Competition; Unlabeled Offers,NULL,31081000,NULL
1991,18:19.4,Air Force,FRS&C,Competition with single offer,One Offer,66269000,NULL
1991,18:19.4,Air Force,FRS&C,No Competition (Only One Source Exception),No competition,410941000,NULL
1991,18:19.4,Air Force,Fuel,No Competition (Other Exception),No competition,2974000,NULL
1991,18:19.4,Air Force,Fuel,Unlabeled: Competition; Unlabeled Offers,NULL,7705000,NULL
1991,18:19.4,Air Force,ICT,No Competition (Other Exception),No competition,56749000,NULL
1991,18:19.4,Air Force,ICT,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,76000,NULL
1991,18:19.4,Air Force,Products,Limited Competition with multiple offers,Two Offers,6339783000,NULL
1988,18:19.4,Army,ICT,Limited Competition with multiple offers,Two Offers,-39000,NULL
1988,18:19.4,Navy,ERS,No Competition (Other Exception),No competition,450000,NULL
1988,18:19.4,Navy,MED,Competition with single offer,One Offer,25000,NULL
1988,18:19.4,Other DoD,Products,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,44000,NULL
1988,18:19.4,Other DoD,R&D,Competition with single offer,One Offer,200000,NULL
1989,18:19.4,Army,FRS&C,No Competition (Other Exception),No competition,150000,NULL
1989,18:19.4,Army,Products,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,176667000,NULL
1989,18:19.4,Army,R&D,Limited Competition with multiple offers,Two Offers,3822000,NULL
1989,18:19.4,Navy,ERS,Competition with single offer,One Offer,3702000,NULL
1989,18:19.4,Navy,ERS,No Competition (Only One Source Exception),No competition,12353000,NULL
1989,18:19.4,Navy,ICT,No Competition (Other Exception),No competition,1021000,NULL
1989,18:19.4,Navy,PAMS,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,1467000,NULL
1989,18:19.4,Navy,Products,No Competition (Only One Source Exception),No competition,121922975,NULL
1989,18:19.4,Navy,R&D,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,25000,NULL
1989,18:19.4,Other DoD,PAMS,Limited Competition with multiple offers,Two Offers,32000,NULL
1989,18:19.4,Other DoD,R&D,Limited Competition with multiple offers,Two Offers,44829000,NULL
1990,18:19.4,Air Force,NULL,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,NULL,NULL
1990,18:19.4,Air Force,ERS,No Competition (Other Exception),No competition,121405000,NULL
1990,18:19.4,Air Force,FRS&C,Limited Competition with multiple offers,Two Offers,1741016000,NULL
1990,18:19.4,Air Force,Fuel,No Competition (Only One Source Exception),No competition,235000,NULL
1990,18:19.4,Air Force,PAMS,Limited Competition with multiple offers,Two Offers,1211926000,NULL
1990,18:19.4,Air Force,PAMS,No Competition (Unlabeled Exception),No competition,378017000,NULL
1990,18:19.4,Air Force,Products,Competition with single offer,One Offer,290718000,NULL
1990,18:19.4,Air Force,R&D,Limited Competition with multiple offers,Two Offers,4441796000,NULL
1990,18:19.4,Air Force,R&D,No Competition (Unlabeled Exception),No competition,1909765000,NULL
1990,18:19.4,Army,FRS&C,No Competition (Only One Source Exception),No competition,100160000,NULL
1990,18:19.4,Army,Fuel,Competition with single offer,One Offer,407000,NULL
1990,18:19.4,Army,Products,No Competition (Other Exception),No competition,586107000,NULL
1990,18:19.4,DLA,FRS&C,No Competition (Only One Source Exception),No competition,5970000,NULL
1990,18:19.4,DLA,Fuel,Competition with single offer,One Offer,37273000,NULL
1990,18:19.4,DLA,Fuel,No Competition (Other Exception),No competition,5993000,NULL
1990,18:19.4,DLA,PAMS,Limited Competition with multiple offers,Two Offers,25098000,NULL
1990,18:19.4,DLA,Products,No Competition (Other Exception),No competition,517023000,NULL
1990,18:19.4,DLA,R&D,Limited Competition with multiple offers,Two Offers,14467000,NULL
1990,18:19.4,Navy,ERS,No Competition (Other Exception),No competition,105537920,NULL
1990,18:19.4,Navy,FRS&C,No Competition (Unlabeled Exception),No competition,2143000,NULL
1990,18:19.4,Navy,MED,Competition with single offer,One Offer,3811000,NULL
1990,18:19.4,Navy,MED,No Competition (Only One Source Exception),No competition,64000,NULL
1990,18:19.4,Navy,PAMS,Limited Competition with multiple offers,3-4 Offers,159676,2
1990,18:19.4,Navy,PAMS,No Competition (Unlabeled Exception),No competition,209611000,NULL
1990,18:19.4,Other DoD,FRS&C,Competition with single offer,One Offer,1607000,NULL
1990,18:19.4,Other DoD,FRS&C,No Competition (Only One Source Exception),No competition,1309000,NULL
1990,18:19.4,Other DoD,ICT,Limited Competition with multiple offers,Two Offers,164722000,NULL
1990,18:19.4,Other DoD,PAMS,Unlabeled: Competition; Unlabeled Offers,NULL,30000,NULL
1990,18:19.4,Other DoD,R&D,Unlabeled: Competition; Unlabeled Offers,NULL,4462000,NULL
1991,18:19.4,Air Force,FRS&C,Unlabeled: Competition; Unlabeled Offers,NULL,24147000,NULL
1991,18:19.4,Air Force,FRS&C,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,242000,NULL
1991,18:19.4,Air Force,ICT,No Competition (Unlabeled Exception),No competition,77336000,NULL
1991,18:19.4,Air Force,MED,No Competition (Other Exception),No competition,66000,NULL
1991,18:19.4,Army,ICT,No Competition (Unlabeled Exception),No competition,55503000,NULL
1991,18:19.4,Army,PAMS,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,1475000,NULL
1991,18:19.4,Army,Products,No Competition (Only One Source Exception),No competition,6067803000,NULL
1991,18:19.4,Army,R&D,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,1410000,NULL
1991,18:19.4,DLA,FRS&C,Competition with single offer,One Offer,34944000,NULL
1991,18:19.4,DLA,ICT,No Competition (Unlabeled Exception),No competition,212000,NULL
1991,18:19.4,Navy,ERS,No Competition (Only One Source Exception),No competition,825722639,NULL
1991,18:19.4,Navy,Fuel,Limited Competition with multiple offers,Two Offers,9891000,NULL
1991,18:19.4,Navy,ICT,Competition with single offer,One Offer,103701050,NULL
NULL,18:19.4,Navy,NULL,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,NULL,NULL
1988,18:19.4,Army,FRS&C,Limited Competition with multiple offers,Two Offers,-35000,NULL
1988,18:19.4,Army,ICT,No Competition (Only One Source Exception),No competition,73000,NULL
1988,18:19.4,Navy,ERS,No Competition (Unlabeled Exception),No competition,-332000,NULL
1988,18:19.4,Navy,FRS&C,No Competition (Other Exception),No competition,591000,NULL
1988,18:19.4,Navy,Products,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,53000,NULL
1988,18:19.4,Navy,R&D,No Competition (Only One Source Exception),No competition,148000,NULL
1989,18:19.4,Army,ERS,No Competition (Only One Source Exception),No competition,45000,NULL
1989,18:19.4,Army,R&D,No Competition (Only One Source Exception),No competition,11117000,NULL
1989,18:19.4,Navy,ERS,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,475000,NULL
1989,18:19.4,Navy,FRS&C,No Competition (Only One Source Exception),No competition,327000,NULL
1989,18:19.4,Navy,FRS&C,No Competition (Other Exception),No competition,18179000,NULL
1989,18:19.4,Other DoD,ERS,No Competition (Other Exception),No competition,39000,NULL
1989,18:19.4,Other DoD,FRS&C,Limited Competition with multiple offers,Two Offers,3079000,NULL
1989,18:19.4,Other DoD,ICT,Competition with single offer,One Offer,1609000,NULL
1989,18:19.4,Other DoD,ICT,No Competition (Other Exception),No competition,751000,NULL
1989,18:19.4,Other DoD,Products,Competition with single offer,One Offer,953000,NULL
1990,18:19.4,Air Force,ERS,Limited Competition with multiple offers,Two Offers,630099000,NULL
1990,18:19.4,Air Force,FRS&C,No Competition (Unlabeled Exception),No competition,251337000,NULL
1990,18:19.4,Air Force,PAMS,Competition with single offer,One Offer,780644000,NULL
1990,18:19.4,Air Force,R&D,Competition with single offer,One Offer,262917000,NULL
1990,18:19.4,Air Force,R&D,Unlabeled: Competition; Unlabeled Offers,NULL,3062714000,NULL
1990,18:19.4,Army,ERS,Unlabeled: Competition; Unlabeled Offers,NULL,60218000,NULL
1990,18:19.4,Army,ICT,No Competition (Other Exception),No competition,55407000,NULL
1990,18:19.4,Army,MED,No Competition (Only One Source Exception),No competition,8663000,NULL
1990,18:19.4,Army,Products,Limited Competition with multiple offers,Two Offers,1809606000,NULL
1990,18:19.4,Army,R&D,No Competition (Only One Source Exception),No competition,741317000,NULL
1990,18:19.4,Army,R&D,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,14345000,NULL
1990,18:19.4,DLA,ICT,No Competition (Other Exception),No competition,23544000,NULL
1990,18:19.4,DLA,Products,Limited Competition with multiple offers,Two Offers,1094457000,NULL
1990,18:19.4,Navy,FRS&C,Competition with single offer,One Offer,91397000,NULL
1990,18:19.4,Navy,FRS&C,No Competition (Only One Source Exception),No competition,45902000,NULL
1990,18:19.4,Navy,ICT,Limited Competition with multiple offers,Two Offers,473208000,NULL
1990,18:19.4,Navy,MED,Limited Competition with multiple offers,Two Offers,121436000,NULL
1990,18:19.4,Navy,PAMS,Unlabeled: Competition; Unlabeled Offers,NULL,68380000,NULL
1990,18:19.4,Navy,Products,No Competition (Other Exception),No competition,603133000,NULL
1990,18:19.4,Other DoD,ERS,Competition with single offer,One Offer,2682000,NULL
1990,18:19.4,Other DoD,ICT,Competition with single offer,One Offer,44922000,NULL
1990,18:19.4,Other DoD,MED,No Competition (Other Exception),No competition,588000,NULL
1990,18:19.4,Other DoD,Products,Limited Competition with multiple offers,Two Offers,229595000,NULL
1991,18:19.4,Air Force,ERS,Limited Competition with multiple offers,Two Offers,1596629000,NULL
1991,18:19.4,Air Force,Fuel,No Competition (Unlabeled Exception),No competition,33000,NULL
1991,18:19.4,Air Force,MED,Limited Competition with multiple offers,Two Offers,37168000,NULL
1991,18:19.4,Air Force,PAMS,No Competition (Only One Source Exception),No competition,957383000,NULL
1991,18:19.4,Air Force,Products,No Competition (Unlabeled Exception),No competition,3551356000,NULL
1991,18:19.4,Air Force,R&D,Competition with single offer,One Offer,374219000,NULL
1991,18:19.4,Air Force,R&D,Unlabeled: Competition; Unlabeled Offers,NULL,2333741000,NULL
1991,18:19.4,Army,ERS,Unlabeled: Competition; Unlabeled Offers,NULL,122000,NULL
1991,18:19.4,Army,Fuel,Limited Competition with multiple offers,Two Offers,14555000,NULL
1991,18:19.4,Army,ICT,Competition with single offer,One Offer,51506000,NULL
1991,18:19.4,Army,ICT,No Competition (Only One Source Exception),No competition,78619000,NULL
1991,18:19.4,Army,ICT,No Competition (Other Exception),No competition,86811000,NULL
1991,18:19.4,Army,PAMS,No Competition (Other Exception),No competition,223053000,NULL
1991,18:19.4,DLA,Fuel,Limited Competition with multiple offers,Two Offers,5648418000,NULL
1991,18:19.4,DLA,ICT,Competition with single offer,One Offer,2322000,NULL
1991,18:19.4,DLA,ICT,No Competition (Only One Source Exception),No competition,7788000,NULL
1991,18:19.4,DLA,PAMS,No Competition (Other Exception),No competition,8552000,NULL
1991,18:19.4,Navy,ICT,Limited Competition with multiple offers,Two Offers,503430570,NULL
1991,18:19.4,Navy,PAMS,Limited Competition with multiple offers,Two Offers,2339891962,NULL
1991,18:19.4,Navy,PAMS,Unlabeled: Competition; Unlabeled Offers,NULL,48247930,NULL
1987,18:19.4,Army,ICT,Limited Competition with multiple offers,Two Offers,-171000,NULL
1988,18:19.4,Navy,ERS,No Competition (Only One Source Exception),No competition,1825000,NULL
1988,18:19.4,Navy,FRS&C,Limited Competition with multiple offers,Two Offers,70000,NULL
1988,18:19.4,Navy,Products,No Competition (Only One Source Exception),No competition,-293330,NULL
1989,18:19.4,Army,ICT,Limited Competition with multiple offers,Two Offers,70000,NULL
1989,18:19.4,Navy,ERS,No Competition (Other Exception),No competition,15794000,NULL
1989,18:19.4,Navy,PAMS,No Competition (Unlabeled Exception),No competition,445000,NULL
1989,18:19.4,Other DoD,FRS&C,Competition with single offer,One Offer,213000,NULL
1989,18:19.4,Other DoD,FRS&C,No Competition (Only One Source Exception),No competition,43000,NULL
1989,18:19.4,Other DoD,ICT,Limited Competition with multiple offers,Two Offers,12159000,NULL
1989,18:19.4,Other DoD,R&D,Competition with single offer,One Offer,4920000,NULL
1989,18:19.4,Other DoD,R&D,Unlabeled: Competition; Unlabeled Offers,NULL,1431000,NULL
1990,18:19.4,Air Force,FRS&C,Unlabeled: Competition; Unlabeled Offers,NULL,147126000,NULL
1990,18:19.4,Air Force,ICT,No Competition (Unlabeled Exception),No competition,66099000,NULL
1990,18:19.4,Air Force,MED,No Competition (Other Exception),No competition,182000,NULL
1990,18:19.4,Air Force,PAMS,Unlabeled: Competition; Unlabeled Offers,NULL,204578000,NULL
1990,18:19.4,Army,ERS,No Competition (Unlabeled Exception),No competition,19499000,NULL
1990,18:19.4,Army,ERS,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,1039000,NULL
1990,18:19.4,Army,FRS&C,No Competition (Other Exception),No competition,188000000,NULL
1990,18:19.4,Army,Products,No Competition (Only One Source Exception),No competition,3793682000,NULL
1990,18:19.4,Army,Products,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,5373754000,NULL
1990,18:19.4,Army,R&D,Limited Competition with multiple offers,Two Offers,1088106000,NULL
1990,18:19.4,DLA,ERS,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,29000,NULL
1990,18:19.4,DLA,FRS&C,Competition with single offer,One Offer,37390000,NULL
1990,18:19.4,DLA,Products,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,2152958000,NULL
1990,18:19.4,Navy,ERS,No Competition (Only One Source Exception),No competition,1995463000,NULL
1990,18:19.4,Navy,Fuel,Limited Competition with multiple offers,Two Offers,2708000,NULL
1990,18:19.4,Navy,ICT,No Competition (Other Exception),No competition,172893000,NULL
1990,18:19.4,Navy,MED,No Competition (Other Exception),No competition,1547000,NULL
1990,18:19.4,Navy,PAMS,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,60733000,NULL
1990,18:19.4,Navy,R&D,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,2659000,NULL
1990,18:19.4,Other DoD,NULL,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,NULL,NULL
1990,18:19.4,Other DoD,ERS,No Competition (Unlabeled Exception),No competition,330000,NULL
1990,18:19.4,Other DoD,ICT,Unlabeled: Competition; Unlabeled Offers,NULL,2477000,NULL
1990,18:19.4,Other DoD,PAMS,Limited Competition with multiple offers,Two Offers,386283000,NULL
1990,18:19.4,Other DoD,Products,No Competition (Unlabeled Exception),No competition,285000,NULL
1990,18:19.4,Other DoD,R&D,Limited Competition with multiple offers,Two Offers,618822000,NULL
1991,18:19.4,Air Force,ERS,Competition with single offer,One Offer,45876000,NULL
1991,18:19.4,Air Force,ERS,No Competition (Other Exception),No competition,184386000,NULL
1991,18:19.4,Air Force,FRS&C,Limited Competition with multiple offers,Two Offers,2568353000,NULL
1991,18:19.4,Air Force,Fuel,No Competition (Only One Source Exception),No competition,6435000,NULL
1991,18:19.4,Air Force,PAMS,Limited Competition with multiple offers,Two Offers,2544301000,NULL
1991,18:19.4,Air Force,PAMS,No Competition (Unlabeled Exception),No competition,295413000,NULL
1991,18:19.4,Air Force,Products,Competition with single offer,One Offer,726093000,NULL
1991,18:19.4,Air Force,Products,No Competition (Only One Source Exception),No competition,8083900000,NULL
1991,18:19.4,Air Force,Products,Unlabeled: Competition; Unlabeled Offers,NULL,986762000,NULL
1991,18:19.4,Air Force,R&D,No Competition (Unlabeled Exception),No competition,1502004000,NULL
1991,18:19.4,Army,ERS,No Competition (Other Exception),No competition,202004000,NULL
1991,18:19.4,Army,Fuel,Competition with single offer,One Offer,42000,NULL
1991,18:19.4,Army,PAMS,Limited Competition with multiple offers,Two Offers,1294130000,NULL
1991,18:19.4,Army,Products,No Competition (Other Exception),No competition,2899809000,NULL
1991,18:19.4,DLA,ERS,No Competition (Other Exception),No competition,3537000,NULL
1991,18:19.4,DLA,Fuel,Competition with single offer,One Offer,90291000,NULL
1991,18:19.4,DLA,PAMS,Limited Competition with multiple offers,Two Offers,19380000,NULL
1991,18:19.4,DLA,Products,No Competition (Other Exception),No competition,1105950000,NULL
1991,18:19.4,DLA,R&D,Limited Competition with multiple offers,Two Offers,6942000,NULL
1991,18:19.4,Navy,ERS,No Competition (Other Exception),No competition,162688630,NULL
1991,18:19.4,Navy,FRS&C,No Competition (Unlabeled Exception),No competition,10973986,NULL
1991,18:19.4,Navy,PAMS,No Competition (Unlabeled Exception),No competition,543568873,NULL
NULL,18:19.4,Air Force,NULL,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,259871,1
1988,18:19.4,Other DoD,R&D,No Competition (Only One Source Exception),No competition,58000,NULL
1989,18:19.4,Navy,FRS&C,Limited Competition with multiple offers,Two Offers,260815000,NULL
1989,18:19.4,Navy,Fuel,Limited Competition with multiple offers,Two Offers,39000,NULL
1989,18:19.4,Navy,ICT,Competition with single offer,One Offer,418000,NULL
1989,18:19.4,Navy,ICT,Limited Competition with multiple offers,Two Offers,6731000,NULL
1989,18:19.4,Navy,ICT,Unlabeled: Competition; Unlabeled Offers,NULL,-30000,NULL
1989,18:19.4,Navy,PAMS,Unlabeled: Competition; Unlabeled Offers,NULL,9169000,NULL
1989,18:19.4,Navy,Products,No Competition (Other Exception),No competition,2308000,NULL
1989,18:19.4,Navy,Products,Unlabeled: Competition; Unlabeled Offers,NULL,8661000,NULL
1989,18:19.4,Navy,R&D,No Competition (Only One Source Exception),No competition,7273000,NULL
