fiscal_year,Query_Run,Customer,Services Category,FundingMechanismClassification,SumOfobligatedAmount,SumOfnumberOfActions
1992,Defense,20:49.0,Products,Cost Plus Award Fee,437018111,NULL
1992,Defense,20:49.0,Products,Cost Plus Fixed Fee,2524456232,NULL
1992,Defense,20:49.0,Products,Labor Hours,36921724,NULL
1992,Defense,20:49.0,R&D,Cost Sharing,166644925,NULL
1992,Defense,20:49.0,R&D,Time and Materials,338717276,NULL
1993,Defense,20:49.0,ERS,NULL,211089306,NULL
1993,Defense,20:49.0,FRS&C,NULL,248463283,NULL
1993,Defense,20:49.0,FRS&C,Cost No Fee,431177190,NULL
1993,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,4347173518,NULL
1993,Defense,20:49.0,ICT,Cost Plus Award Fee,388704133,1
1993,Defense,20:49.0,PAMS,Fixed Price Redetermination,58796331,2
1993,Defense,20:49.0,Products,Cost Sharing,7284976,NULL
1993,Defense,20:49.0,Products,Fixed Price Incentive,7790642807,39
1993,Defense,20:49.0,Products,Fixed Price Redetermination,92094017,NULL
1993,Defense,20:49.0,Products,Time and Materials,266188265,2
1993,Defense,20:49.0,R&D,Cost No Fee,812676970,2
1993,Defense,20:49.0,R&D,Labor Hours,154606504,NULL
1994,Defense,20:49.0,FRS&C,Cost Sharing,2130677,8
1994,Defense,20:49.0,FRS&C,Firm Fixed Price,13511398355,39203
1988,Defense,20:49.0,Products,Fixed Price Incentive,152000,NULL
1989,Defense,20:49.0,ERS,Cost No Fee,499000,NULL
1989,Defense,20:49.0,ERS,Labor Hours,218000,NULL
1989,Defense,20:49.0,FRS&C,Time and Materials,30000,NULL
1989,Defense,20:49.0,PAMS,Cost Plus Award Fee,17352000,NULL
1989,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,20645000,NULL
1989,Defense,20:49.0,R&D,Cost Plus Award Fee,5680000,NULL
1989,Defense,20:49.0,R&D,Cost Plus Fixed Fee,76607000,NULL
1990,Defense,20:49.0,ERS,Cost Sharing,5796000,NULL
1990,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,416086000,NULL
1990,Defense,20:49.0,ERS,Time and Materials,308918000,NULL
1990,Defense,20:49.0,FRS&C,Fixed Price Redetermination,42712000,NULL
1990,Defense,20:49.0,ICT,Cost No Fee,10133000,NULL
1990,Defense,20:49.0,MED,Cost No Fee,8687000,NULL
1990,Defense,20:49.0,PAMS,Fixed Price Redetermination,23584000,NULL
1990,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,2262690000,NULL
1990,Defense,20:49.0,Products,Time and Materials,202001000,NULL
1990,Defense,20:49.0,R&D,Cost Plus Incentive,1248280000,NULL
1990,Defense,20:49.0,R&D,Fixed Price Redetermination,376251000,NULL
1991,Defense,20:49.0,ERS,Cost No Fee,52549000,NULL
1991,Defense,20:49.0,ERS,Labor Hours,14949000,NULL
1991,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,472425462,NULL
1991,Defense,20:49.0,FRS&C,Firm Fixed Price,11685023183,NULL
1991,Defense,20:49.0,Fuel,Fixed Price Incentive,99000,NULL
1991,Defense,20:49.0,ICT,Cost Plus Incentive,38504000,NULL
1991,Defense,20:49.0,ICT,Cost Sharing,2628000,NULL
1991,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,464262000,NULL
1991,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,809000,NULL
1991,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,3390749392,NULL
1991,Defense,20:49.0,Products,Labor Hours,28847000,NULL
1992,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,471901512,NULL
1992,Defense,20:49.0,ERS,Time and Materials,684734413,NULL
1992,Defense,20:49.0,FRS&C,Cost Plus Award Fee,1990959017,NULL
1992,Defense,20:49.0,FRS&C,Fixed Price Redetermination,118229204,NULL
1992,Defense,20:49.0,Fuel,NULL,6926750,NULL
1992,Defense,20:49.0,Fuel,Firm Fixed Price,134869521,NULL
1992,Defense,20:49.0,ICT,Cost No Fee,63122908,NULL
1992,Defense,20:49.0,MED,Cost No Fee,14919257,NULL
1992,Defense,20:49.0,MED,Labor Hours,539250,NULL
1992,Defense,20:49.0,PAMS,Cost Plus Incentive,233170606,NULL
1992,Defense,20:49.0,Products,Time and Materials,221839279,NULL
1992,Defense,20:49.0,R&D,Cost Plus Incentive,2733123940,NULL
1993,Defense,20:49.0,ERS,Fixed Price Incentive,450079577,18
1993,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,1057990471,1
1993,Defense,20:49.0,FRS&C,Firm Fixed Price,10913110393,1188
1993,Defense,20:49.0,ICT,Cost Plus Incentive,107887875,1
1993,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,618806957,NULL
1993,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,570794,NULL
NULL,Defense,20:49.0,NULL,NULL,NULL,NULL
1988,Defense,20:49.0,FRS&C,Firm Fixed Price,626000,NULL
1989,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,347157000,NULL
1989,Defense,20:49.0,FRS&C,Cost Plus Award Fee,13886000,NULL
1989,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,55000,NULL
1989,Defense,20:49.0,Fuel,Firm Fixed Price,39000,NULL
1989,Defense,20:49.0,ICT,Firm Fixed Price,9608000,NULL
1989,Defense,20:49.0,R&D,Cost Plus Incentive,2921000,NULL
1990,Defense,20:49.0,ERS,Fixed Price Incentive,365315000,NULL
1990,Defense,20:49.0,FRS&C,NULL,270667000,NULL
1990,Defense,20:49.0,FRS&C,Time and Materials,71740000,NULL
1990,Defense,20:49.0,Fuel,NULL,3873075000,NULL
1990,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,983040000,NULL
1990,Defense,20:49.0,ICT,Cost Plus Award Fee,267005000,NULL
1990,Defense,20:49.0,ICT,Cost Plus Fixed Fee,586383799,1
1990,Defense,20:49.0,ICT,Labor Hours,50523000,NULL
1990,Defense,20:49.0,MED,Cost Plus Incentive,498000,NULL
1990,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,1345000,NULL
1990,Defense,20:49.0,MED,Labor Hours,142000,NULL
1990,Defense,20:49.0,PAMS,Cost Sharing,1255000,NULL
1990,Defense,20:49.0,PAMS,Firm Fixed Price,2949215034,NULL
1990,Defense,20:49.0,Products,Cost Sharing,2606000,NULL
1990,Defense,20:49.0,Products,Firm Fixed Price,26954970115,NULL
1990,Defense,20:49.0,Products,Fixed Price Incentive,9125576000,NULL
1991,Defense,20:49.0,ERS,Cost Sharing,5300000,NULL
1991,Defense,20:49.0,ERS,Firm Fixed Price,6213181874,NULL
1991,Defense,20:49.0,FRS&C,Cost Plus Incentive,26205000,NULL
1991,Defense,20:49.0,ICT,NULL,54380000,NULL
1991,Defense,20:49.0,ICT,Time and Materials,259546965,NULL
1991,Defense,20:49.0,MED,Fixed Price Incentive,130758000,NULL
1991,Defense,20:49.0,MED,Time and Materials,260000,NULL
1991,Defense,20:49.0,PAMS,NULL,1038332873,NULL
1991,Defense,20:49.0,PAMS,Cost No Fee,75611463,NULL
1991,Defense,20:49.0,PAMS,Cost Plus Award Fee,1337134321,NULL
1991,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,189021000,NULL
1991,Defense,20:49.0,PAMS,Labor Hours,237592686,NULL
1991,Defense,20:49.0,Products,NULL,7156025594,NULL
1991,Defense,20:49.0,Products,Cost No Fee,-136044725,NULL
1991,Defense,20:49.0,Products,Cost Plus Award Fee,441419000,NULL
1991,Defense,20:49.0,R&D,Cost Sharing,199065000,NULL
1991,Defense,20:49.0,R&D,Firm Fixed Price,3301742869,NULL
1991,Defense,20:49.0,R&D,Fixed Price Redetermination,7254000,NULL
1992,Defense,20:49.0,ERS,NULL,307653913,NULL
1992,Defense,20:49.0,Fuel,Cost Plus Fixed Fee,77810,NULL
1992,Defense,20:49.0,MED,Firm Fixed Price,439999624,NULL
1992,Defense,20:49.0,PAMS,Time and Materials,1347829692,NULL
1992,Defense,20:49.0,R&D,Cost No Fee,920228688,NULL
1992,Defense,20:49.0,R&D,Cost Plus Award Fee,3936226407,NULL
1992,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,360290859,NULL
1992,Defense,20:49.0,R&D,Labor Hours,47173119,NULL
1993,Defense,20:49.0,FRS&C,Cost Sharing,6119050,NULL
1988,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,283000,NULL
1988,Defense,20:49.0,R&D,Cost Plus Fixed Fee,511000,NULL
1989,Defense,20:49.0,FRS&C,NULL,4261000,NULL
1989,Defense,20:49.0,FRS&C,Fixed Price Redetermination,544000,NULL
1989,Defense,20:49.0,Products,Fixed Price Incentive,31843000,NULL
1989,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,1671000,NULL
1989,Defense,20:49.0,Products,Time and Materials,310000,NULL
1990,Defense,20:49.0,ERS,Cost No Fee,67061000,NULL
1990,Defense,20:49.0,ERS,Labor Hours,16345000,NULL
1990,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,194797000,NULL
1990,Defense,20:49.0,FRS&C,Firm Fixed Price,7574178778,NULL
1990,Defense,20:49.0,ICT,Cost Plus Incentive,86564000,NULL
1990,Defense,20:49.0,ICT,Cost Sharing,5432000,NULL
1990,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,3686683676,2
1990,Defense,20:49.0,Products,Cost No Fee,29582000,NULL
1990,Defense,20:49.0,Products,Labor Hours,20947000,NULL
1990,Defense,20:49.0,R&D,Cost Plus Fixed Fee,5708341764,NULL
1991,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,534554000,NULL
1991,Defense,20:49.0,ERS,Time and Materials,638076363,NULL
1991,Defense,20:49.0,FRS&C,Fixed Price Redetermination,46323029,NULL
1991,Defense,20:49.0,Fuel,NULL,19465000,NULL
1991,Defense,20:49.0,Fuel,Firm Fixed Price,76128000,NULL
1991,Defense,20:49.0,ICT,Cost No Fee,36520000,NULL
1991,Defense,20:49.0,MED,Cost No Fee,17655000,NULL
1991,Defense,20:49.0,MED,Labor Hours,3938000,NULL
1991,Defense,20:49.0,PAMS,Cost Plus Incentive,179383000,NULL
1991,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,2700840767,NULL
1991,Defense,20:49.0,Products,Time and Materials,222091809,NULL
1991,Defense,20:49.0,R&D,Cost Plus Incentive,1908120000,NULL
1992,Defense,20:49.0,ERS,Cost No Fee,11017645,NULL
1992,Defense,20:49.0,ERS,Fixed Price Incentive,882630361,NULL
1992,Defense,20:49.0,ERS,Labor Hours,29519220,NULL
1992,Defense,20:49.0,FRS&C,Cost Plus Fixed Fee,752489469,NULL
1992,Defense,20:49.0,FRS&C,Firm Fixed Price,10987535246,1
1992,Defense,20:49.0,ICT,Cost Plus Incentive,122145958,NULL
1992,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,888010115,NULL
1992,Defense,20:49.0,MED,Fixed Price with Economic Price Adjustment,475849,NULL
1992,Defense,20:49.0,MED,Time and Materials,582987,NULL
1993,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,427353580,NULL
1993,Defense,20:49.0,ERS,Time and Materials,701061433,23
1993,Defense,20:49.0,FRS&C,Cost Plus Award Fee,1300739316,NULL
1993,Defense,20:49.0,FRS&C,Cost Plus Incentive,7238510,NULL
1993,Defense,20:49.0,Fuel,NULL,7427024,NULL
1993,Defense,20:49.0,Fuel,Firm Fixed Price,147130786,NULL
1993,Defense,20:49.0,ICT,Fixed Price Incentive,26728747,NULL
1993,Defense,20:49.0,MED,Cost No Fee,899199,NULL
1993,Defense,20:49.0,MED,Fixed Price Incentive,145475381,NULL
1993,Defense,20:49.0,MED,Labor Hours,884800,NULL
1993,Defense,20:49.0,PAMS,Cost Plus Incentive,273558574,NULL
1989,Defense,20:49.0,ERS,Fixed Price Incentive,4500000,NULL
1989,Defense,20:49.0,FRS&C,Firm Fixed Price,344631000,NULL
1989,Defense,20:49.0,ICT,Cost Plus Fixed Fee,15103000,NULL
1990,Defense,20:49.0,FRS&C,Cost Plus Award Fee,788744000,NULL
1990,Defense,20:49.0,FRS&C,Cost Plus Incentive,45268000,NULL
1990,Defense,20:49.0,FRS&C,Labor Hours,5312000,NULL
1990,Defense,20:49.0,Fuel,Firm Fixed Price,135550000,NULL
1990,Defense,20:49.0,Fuel,Fixed Price Redetermination,-325000,NULL
1990,Defense,20:49.0,ICT,Fixed Price Incentive,11001000,NULL
1990,Defense,20:49.0,MED,Fixed Price Incentive,127452000,NULL
1990,Defense,20:49.0,MED,Fixed Price Redetermination,23263000,NULL
1990,Defense,20:49.0,PAMS,NULL,908404000,NULL
1990,Defense,20:49.0,PAMS,Cost No Fee,83284000,NULL
1990,Defense,20:49.0,Products,NULL,22318612000,NULL
1990,Defense,20:49.0,R&D,Firm Fixed Price,4148458000,NULL
1991,Defense,20:49.0,ERS,Fixed Price Incentive,502478829,NULL
1991,Defense,20:49.0,FRS&C,Time and Materials,202315865,NULL
1991,Defense,20:49.0,Fuel,Cost Plus Fixed Fee,55000,NULL
1991,Defense,20:49.0,ICT,Labor Hours,48393000,NULL
1991,Defense,20:49.0,PAMS,Cost Sharing,981000,NULL
1991,Defense,20:49.0,R&D,Cost Plus Award Fee,2412327000,NULL
1991,Defense,20:49.0,R&D,Cost Plus Fixed Fee,6238142791,2
1991,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,555820000,NULL
1992,Defense,20:49.0,ERS,Cost Sharing,57961911,NULL
1992,Defense,20:49.0,ERS,Firm Fixed Price,5105323861,1
1992,Defense,20:49.0,FRS&C,Cost Plus Incentive,6909101,NULL
1992,Defense,20:49.0,FRS&C,Labor Hours,8110984,NULL
1992,Defense,20:49.0,ICT,Fixed Price Incentive,47236383,NULL
1992,Defense,20:49.0,ICT,Time and Materials,244230094,NULL
1992,Defense,20:49.0,MED,Fixed Price Incentive,94433899,NULL
1992,Defense,20:49.0,PAMS,Cost No Fee,117188826,NULL
1992,Defense,20:49.0,PAMS,Labor Hours,239060384,NULL
1992,Defense,20:49.0,Products,NULL,5195995852,NULL
1992,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,2648038247,NULL
1992,Defense,20:49.0,R&D,Fixed Price Redetermination,3588540,NULL
1993,Defense,20:49.0,ERS,Cost No Fee,9069011,NULL
1993,Defense,20:49.0,ERS,Cost Plus Award Fee,678098015,13
1993,Defense,20:49.0,ERS,Labor Hours,6389097,NULL
1993,Defense,20:49.0,FRS&C,Time and Materials,320530959,1
1993,Defense,20:49.0,Fuel,Cost Plus Fixed Fee,-100955,NULL
1993,Defense,20:49.0,ICT,Cost Sharing,3295974,NULL
1993,Defense,20:49.0,ICT,Labor Hours,46768565,20
1993,Defense,20:49.0,MED,Firm Fixed Price,240228196,6
1993,Defense,20:49.0,PAMS,Time and Materials,1267891850,37
1993,Defense,20:49.0,R&D,Cost Plus Award Fee,3761449133,5
1993,Defense,20:49.0,R&D,Cost Plus Fixed Fee,7107115450,30
1993,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,462730583,NULL
1994,Defense,20:49.0,ERS,Cost Sharing,41293466,15
1994,Defense,20:49.0,ERS,Firm Fixed Price,3998425188,11246
1994,Defense,20:49.0,ERS,Fixed Price Redetermination,7364981,63
1988,Defense,20:49.0,ERS,Firm Fixed Price,2935000,NULL
1988,Defense,20:49.0,MED,Firm Fixed Price,25000,NULL
1988,Defense,20:49.0,Products,NULL,97000,NULL
1988,Defense,20:49.0,R&D,Cost No Fee,148000,NULL
1989,Defense,20:49.0,NULL,NULL,NULL,NULL
1989,Defense,20:49.0,ERS,NULL,1328000,NULL
1989,Defense,20:49.0,ERS,Cost Plus Award Fee,2113000,NULL
1989,Defense,20:49.0,MED,Firm Fixed Price,207000,NULL
1989,Defense,20:49.0,PAMS,Time and Materials,11487000,NULL
1989,Defense,20:49.0,Products,Cost Plus Fixed Fee,6142000,NULL
1989,Defense,20:49.0,R&D,Cost No Fee,369000,NULL
1989,Defense,20:49.0,R&D,Fixed Price Incentive,208000,NULL
1989,Defense,20:49.0,R&D,Labor Hours,8000,NULL
1989,Defense,20:49.0,R&D,Time and Materials,159000,NULL
1990,Defense,20:49.0,ERS,Cost Plus Fixed Fee,565747000,NULL
1990,Defense,20:49.0,FRS&C,Cost No Fee,399877000,NULL
1990,Defense,20:49.0,FRS&C,Cost Sharing,4384000,NULL
1990,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,397934000,NULL
1990,Defense,20:49.0,ICT,Fixed Price Redetermination,3221000,NULL
1990,Defense,20:49.0,MED,Cost Plus Award Fee,1349000,NULL
1990,Defense,20:49.0,Products,Cost Plus Fixed Fee,1707347000,NULL
1990,Defense,20:49.0,Products,Fixed Price Redetermination,73271000,NULL
1990,Defense,20:49.0,R&D,Fixed Price Incentive,5072401000,NULL
1990,Defense,20:49.0,R&D,Time and Materials,310598000,NULL
1991,Defense,20:49.0,ERS,Cost Plus Fixed Fee,594155379,NULL
1991,Defense,20:49.0,ERS,Fixed Price Redetermination,17856539,NULL
1991,Defense,20:49.0,FRS&C,Cost No Fee,626905000,NULL
1991,Defense,20:49.0,FRS&C,Fixed Price Incentive,118256421,NULL
1991,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,625448066,NULL
1991,Defense,20:49.0,ICT,Fixed Price Redetermination,5766000,NULL
1991,Defense,20:49.0,MED,Cost Plus Fixed Fee,9979000,NULL
1991,Defense,20:49.0,Products,Cost Plus Incentive,1586208014,NULL
1991,Defense,20:49.0,Products,Fixed Price Redetermination,134118772,NULL
1992,Defense,20:49.0,ERS,Cost Plus Award Fee,434049532,NULL
1992,Defense,20:49.0,ERS,Fixed Price Redetermination,30517243,NULL
1992,Defense,20:49.0,FRS&C,Fixed Price Incentive,201334250,NULL
1992,Defense,20:49.0,ICT,Firm Fixed Price,2315220327,NULL
1992,Defense,20:49.0,MED,Cost Plus Fixed Fee,3739094,NULL
1992,Defense,20:49.0,MED,Fixed Price Redetermination,170049077,NULL
1992,Defense,20:49.0,PAMS,Fixed Price Incentive,116764582,NULL
1992,Defense,20:49.0,Products,Cost Plus Incentive,2369314055,NULL
1992,Defense,20:49.0,R&D,NULL,298583704,NULL
