fiscal_year,Query_Run,Customer,SubCustomer,FundingMechanismClassification,SumOfobligatedAmount,SumOfnumberOfActions
1994,00:36.7,Defense,DLA,Cost No Fee,7563137,39
1994,00:36.7,Defense,DLA,Fixed Price with Economic Price Adjustment,4523430847,1740
1994,00:36.7,Defense,DLA,Labor Hours,160958,3
1994,00:36.7,Defense,Navy,Time and Materials,980133156,5481
1994,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,633309056,873
1995,00:36.7,Defense,Air Force,Cost Plus Incentive,806494146,211
NULL,00:36.7,Defense,Air Force,NULL,NULL,NULL
NULL,00:36.7,Defense,Navy,NULL,NULL,NULL
1989,00:36.7,Defense,Army,Firm Fixed Price,115903000,NULL
1989,00:36.7,Defense,Navy,Cost No Fee,1454000,NULL
1989,00:36.7,Defense,Navy,Labor Hours,2310000,NULL
1989,00:36.7,Defense,Other DoD,Firm Fixed Price,8906000,NULL
1990,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,4020239000,NULL
1990,00:36.7,Defense,Army,Cost Plus Award Fee,759101000,NULL
1990,00:36.7,Defense,Army,Firm Fixed Price,10394876000,NULL
1990,00:36.7,Defense,Navy,Cost No Fee,281422000,NULL
1990,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,932951000,NULL
1990,00:36.7,Defense,Navy,Labor Hours,125780000,NULL
1990,00:36.7,Defense,Navy,Time and Materials,737812125,NULL
1990,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,1171619000,NULL
1990,00:36.7,Defense,Other DoD,Firm Fixed Price,1390634000,NULL
1991,00:36.7,Defense,Air Force,Cost Plus Incentive,1051228000,NULL
1991,00:36.7,Defense,Army,Cost Plus Award Fee,2632789000,NULL
1991,00:36.7,Defense,Army,Cost Sharing,27804000,NULL
1991,00:36.7,Defense,Navy,Time and Materials,812066469,NULL
1991,00:36.7,Defense,Other DoD,Cost Plus Award Fee,512831000,NULL
1991,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,1269135000,NULL
1992,00:36.7,Defense,Air Force,Cost Plus Incentive,2007447128,NULL
1992,00:36.7,Defense,Army,Cost No Fee,377493307,NULL
1992,00:36.7,Defense,DLA,Cost Plus Fixed Fee,32959839,NULL
1992,00:36.7,Defense,Other DoD,Cost Plus Incentive,21783853,NULL
1993,00:36.7,Defense,Air Force,Cost Sharing,61326944,NULL
1993,00:36.7,Defense,Air Force,Fixed Price Incentive,6937927361,NULL
1993,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,832199281,1
1993,00:36.7,Defense,Other DoD,Cost Plus Incentive,12993055,NULL
1994,00:36.7,Defense,Air Force,Cost No Fee,1247426579,1199
1994,00:36.7,Defense,Air Force,Cost Sharing,52117872,176
1994,00:36.7,Defense,Air Force,Fixed Price Incentive,8455812423,1320
1994,00:36.7,Defense,Air Force,Labor Hours,412730627,971
1994,00:36.7,Defense,Army,Cost Plus Incentive,1517118004,417
1994,00:36.7,Defense,Army,Cost Sharing,62473121,71
1994,00:36.7,Defense,Navy,Fixed Price Incentive,3791297076,1898
1994,00:36.7,Defense,Other DoD,Cost Plus Award Fee,205345806,220
1994,00:36.7,Defense,Other DoD,Cost Sharing,47493334,19
1995,00:36.7,Defense,Air Force,NULL,5864075641,2883
1995,00:36.7,Defense,Air Force,Cost No Fee,1122222328,1131
1995,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,569714605,1187
1995,00:36.7,Defense,Air Force,Labor Hours,258631101,1020
1995,00:36.7,Defense,Air Force,Time and Materials,1482736997,3638
1995,00:36.7,Defense,Army,Cost No Fee,559696185,1046
1995,00:36.7,Defense,Army,Cost Plus Incentive,1850829047,543
1995,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,991143943,1003
1995,00:36.7,Defense,Navy,Firm Fixed Price,15849167629,42557
NULL,00:36.7,Defense,Air Force,Firm Fixed Price,259871,1
1988,00:36.7,Defense,Navy,Fixed Price Incentive,152000,NULL
1989,00:36.7,Defense,Army,NULL,176844000,NULL
1989,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,348828000,NULL
1990,00:36.7,Defense,DLA,Cost Sharing,5209000,NULL
1990,00:36.7,Defense,DLA,Firm Fixed Price,2136624000,NULL
1990,00:36.7,Defense,Navy,Fixed Price Incentive,6975491000,NULL
1990,00:36.7,Defense,Other DoD,Cost Plus Award Fee,328081000,NULL
1990,00:36.7,Defense,Other DoD,Cost Plus Incentive,138403000,NULL
1991,00:36.7,Defense,Air Force,NULL,3563210000,NULL
1991,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,2489120000,NULL
1991,00:36.7,Defense,Navy,Cost Plus Incentive,1088873014,NULL
1991,00:36.7,Defense,Navy,Firm Fixed Price,22989898802,4
1991,00:36.7,Defense,Other DoD,NULL,23636000,NULL
1992,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,1146037115,NULL
1992,00:36.7,Defense,Army,Firm Fixed Price,18001022342,NULL
1992,00:36.7,Defense,Army,Fixed Price Incentive,250630237,NULL
1992,00:36.7,Defense,DLA,Cost Sharing,2729452,NULL
1992,00:36.7,Defense,DLA,Firm Fixed Price,3194540166,NULL
1993,00:36.7,Defense,Air Force,NULL,4384777342,NULL
1993,00:36.7,Defense,Army,Cost Plus Award Fee,2069596310,NULL
1993,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,1546979264,NULL
1993,00:36.7,Defense,Army,Labor Hours,25685503,NULL
1993,00:36.7,Defense,DLA,Cost No Fee,9279670,NULL
1993,00:36.7,Defense,DLA,Cost Plus Fixed Fee,31945711,NULL
1993,00:36.7,Defense,DLA,Labor Hours,431752,NULL
1993,00:36.7,Defense,Navy,Firm Fixed Price,19168178249,2052
1993,00:36.7,Defense,Navy,Fixed Price Redetermination,98321580,7
1993,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,617584552,NULL
1994,00:36.7,Defense,Air Force,Cost Plus Incentive,1683968691,287
1994,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,1156188608,1228
1994,00:36.7,Defense,Army,Firm Fixed Price,12388834930,42000
1994,00:36.7,Defense,Army,Fixed Price Incentive,318184911,28
1994,00:36.7,Defense,Army,Time and Materials,403732416,1889
1994,00:36.7,Defense,DLA,Cost Sharing,1255836,2
1994,00:36.7,Defense,DLA,Time and Materials,2702843,10
1994,00:36.7,Defense,MDA,Cost Sharing,690000,1
1994,00:36.7,Defense,MilitaryHealth,Fixed Price Incentive,124341486,109
1994,00:36.7,Defense,MilitaryHealth,Fixed Price Redetermination,281093268,10
1994,00:36.7,Defense,Navy,Cost Plus Award Fee,2667584305,3662
1994,00:36.7,Defense,Navy,Cost Plus Fixed Fee,7794221957,17118
1994,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,944767760,627
1994,00:36.7,Defense,Other DoD,Firm Fixed Price,2323113447,8014
1994,00:36.7,Defense,Other DoD,Fixed Price Incentive,19305774,9
1995,00:36.7,Defense,Army,Cost Plus Award Fee,2492828210,2296
1995,00:36.7,Defense,Army,Labor Hours,32231898,155
1989,00:36.7,Defense,Navy,NULL,110234000,NULL
1989,00:36.7,Defense,Navy,Firm Fixed Price,633773946,NULL
1989,00:36.7,Defense,Navy,Fixed Price Redetermination,172000,NULL
1989,00:36.7,Defense,Other DoD,Time and Materials,115000,NULL
1990,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,393741000,NULL
1990,00:36.7,Defense,Air Force,Time and Materials,930567000,NULL
1990,00:36.7,Defense,Army,Fixed Price Incentive,179053000,NULL
1990,00:36.7,Defense,Army,Time and Materials,410431000,NULL
1990,00:36.7,Defense,DLA,Fixed Price with Economic Price Adjustment,1040001000,NULL
1990,00:36.7,Defense,DLA,Time and Materials,10317000,NULL
1990,00:36.7,Defense,Navy,Cost Plus Award Fee,1116214000,NULL
1990,00:36.7,Defense,Navy,Cost Plus Fixed Fee,5605186239,3
1990,00:36.7,Defense,Other DoD,Cost No Fee,63314000,NULL
1990,00:36.7,Defense,Other DoD,Fixed Price Incentive,126671000,NULL
1990,00:36.7,Defense,Other DoD,Labor Hours,17474000,NULL
1991,00:36.7,Defense,Air Force,Fixed Price Redetermination,32766000,NULL
1991,00:36.7,Defense,Army,NULL,3310093000,NULL
1991,00:36.7,Defense,Army,Labor Hours,20150000,NULL
1991,00:36.7,Defense,DLA,NULL,100613000,NULL
1991,00:36.7,Defense,DLA,Cost No Fee,4544000,NULL
1991,00:36.7,Defense,DLA,Labor Hours,6142000,NULL
1991,00:36.7,Defense,Navy,Fixed Price Redetermination,41020340,NULL
1991,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,460113000,NULL
1991,00:36.7,Defense,Other DoD,Time and Materials,19929000,NULL
1992,00:36.7,Defense,Air Force,Firm Fixed Price,14861959862,NULL
1992,00:36.7,Defense,Army,Time and Materials,689335086,NULL
1992,00:36.7,Defense,DLA,Fixed Price with Economic Price Adjustment,3583846609,NULL
1992,00:36.7,Defense,DLA,Time and Materials,13377423,NULL
1992,00:36.7,Defense,Navy,Cost Plus Award Fee,1444091724,1
1992,00:36.7,Defense,Navy,Cost Plus Fixed Fee,6941258416,2
1992,00:36.7,Defense,Other DoD,Fixed Price Incentive,105158752,NULL
1993,00:36.7,Defense,Air Force,Fixed Price Redetermination,47818767,NULL
1993,00:36.7,Defense,Army,NULL,4167765424,NULL
1993,00:36.7,Defense,Army,Fixed Price Redetermination,124495789,NULL
1993,00:36.7,Defense,DLA,NULL,85473252,NULL
1993,00:36.7,Defense,DLA,Fixed Price Redetermination,1031157,NULL
1993,00:36.7,Defense,Navy,Cost Plus Incentive,1360507580,11
1993,00:36.7,Defense,Other DoD,NULL,6490920,NULL
1994,00:36.7,Defense,Air Force,Firm Fixed Price,15323352564,41271
1994,00:36.7,Defense,Army,Cost Plus Fixed Fee,2582244046,4874
1994,00:36.7,Defense,DLA,Firm Fixed Price,1994438001,17200
1994,00:36.7,Defense,MDA,Cost Plus Fixed Fee,198128830,280
1994,00:36.7,Defense,MDA,Firm Fixed Price,51992609,32
1994,00:36.7,Defense,MilitaryHealth,Cost Plus Award Fee,9624824,27
1995,00:36.7,Defense,Air Force,Cost Plus Award Fee,6034318825,2292
1995,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,1963552260,4282
1995,00:36.7,Defense,Army,Fixed Price Redetermination,97321386,214
NULL,00:36.7,Defense,NULL,NULL,NULL,NULL
1989,00:36.7,Defense,Navy,Fixed Price Incentive,36551000,NULL
1989,00:36.7,Defense,Navy,Time and Materials,15646000,NULL
1989,00:36.7,Defense,Other DoD,Cost Plus Award Fee,5187000,NULL
1989,00:36.7,Defense,Other DoD,Cost Sharing,250000,NULL
1990,00:36.7,Defense,Army,Cost No Fee,243832000,NULL
1990,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,1870776000,NULL
1990,00:36.7,Defense,Other DoD,NULL,31644000,NULL
1991,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,3615577000,NULL
1991,00:36.7,Defense,Army,Firm Fixed Price,20848257000,NULL
1991,00:36.7,Defense,DLA,Cost Sharing,2596000,NULL
1991,00:36.7,Defense,DLA,Firm Fixed Price,5383649000,NULL
1991,00:36.7,Defense,DLA,Fixed Price Incentive,72000,NULL
1991,00:36.7,Defense,Navy,NULL,2184431535,NULL
1992,00:36.7,Defense,Air Force,Fixed Price Incentive,7465552186,NULL
1992,00:36.7,Defense,Army,Cost Plus Fixed Fee,3167083273,NULL
1992,00:36.7,Defense,DLA,Cost No Fee,8136700,NULL
1992,00:36.7,Defense,DLA,Cost Plus Award Fee,6445000,NULL
1992,00:36.7,Defense,Navy,Cost Plus Incentive,1299565605,NULL
1992,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,1425921605,NULL
1993,00:36.7,Defense,Air Force,Cost Plus Award Fee,4330902401,NULL
1993,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,752839744,NULL
1993,00:36.7,Defense,Air Force,Labor Hours,467351728,NULL
1993,00:36.7,Defense,Other DoD,Fixed Price Redetermination,287541582,NULL
1994,00:36.7,Defense,Air Force,NULL,5153941861,2817
1994,00:36.7,Defense,Air Force,Time and Materials,1527179836,4397
1994,00:36.7,Defense,DLA,Cost Plus Fixed Fee,33558620,204
1994,00:36.7,Defense,Navy,Cost Sharing,34305010,71
1994,00:36.7,Defense,Navy,Firm Fixed Price,18920308367,46573
1994,00:36.7,Defense,Navy,Fixed Price Redetermination,38323448,191
1994,00:36.7,Defense,Other DoD,Cost No Fee,61731649,81
1994,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,474253850,3264
1994,00:36.7,Defense,Other DoD,Labor Hours,14341722,68
1995,00:36.7,Defense,Army,Fixed Price Incentive,208127491,58
1995,00:36.7,Defense,MilitaryHealth,Firm Fixed Price,1192385687,139
1995,00:36.7,Defense,MilitaryHealth,Fixed Price Incentive,112729596,137
1995,00:36.7,Defense,Navy,Cost No Fee,204244563,450
1995,00:36.7,Defense,Navy,Cost Plus Award Fee,2846889193,3937
1995,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,925138846,370
1995,00:36.7,Defense,Navy,Labor Hours,56551753,473
1995,00:36.7,Defense,Other DoD,Firm Fixed Price,1018830134,4334
1995,00:36.7,Defense,Other DoD,Time and Materials,471132910,807
1996,00:36.7,Defense,Army,Cost Plus Award Fee,2645491536,2351
1996,00:36.7,Defense,Army,Cost Sharing,30813298,71
1996,00:36.7,Defense,Army,Labor Hours,60438698,248
1996,00:36.7,Defense,DLA,Fixed Price with Economic Price Adjustment,3908268921,2079
1996,00:36.7,Defense,DLA,Labor Hours,225818,4
1987,00:36.7,Defense,Army,Firm Fixed Price,-171000,NULL
1988,00:36.7,Defense,Army,Firm Fixed Price,-1000,NULL
1988,00:36.7,Defense,Navy,Cost No Fee,148000,NULL
1988,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,200000,NULL
1989,00:36.7,Defense,Army,Cost Plus Award Fee,13964000,NULL
1989,00:36.7,Defense,Army,Cost Plus Fixed Fee,15342000,NULL
1989,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,68031000,NULL
1989,00:36.7,Defense,Other DoD,Fixed Price Redetermination,430000,NULL
1990,00:36.7,Defense,Air Force,Cost Plus Incentive,634128000,NULL
1990,00:36.7,Defense,DLA,Cost Plus Fixed Fee,29120000,NULL
1990,00:36.7,Defense,Navy,Cost Sharing,25388000,NULL
1990,00:36.7,Defense,Other DoD,Fixed Price Redetermination,27883000,NULL
1991,00:36.7,Defense,DLA,Cost Plus Fixed Fee,26209000,NULL
1991,00:36.7,Defense,Navy,Cost No Fee,170459738,NULL
1991,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,746412833,NULL
1991,00:36.7,Defense,Navy,Labor Hours,123969607,NULL
1991,00:36.7,Defense,Other DoD,Cost Plus Incentive,28575000,NULL
1991,00:36.7,Defense,Other DoD,Firm Fixed Price,1240410000,NULL
1992,00:36.7,Defense,Air Force,Cost Sharing,71496169,NULL
1992,00:36.7,Defense,Army,Cost Plus Award Fee,2349485570,NULL
1992,00:36.7,Defense,Army,Cost Sharing,54722362,NULL
1992,00:36.7,Defense,Navy,Cost No Fee,212820938,NULL
1992,00:36.7,Defense,Navy,Fixed Price Incentive,5056809598,1
1992,00:36.7,Defense,Navy,Fixed Price with Economic Price Adjustment,1051382212,1
1992,00:36.7,Defense,Navy,Labor Hours,84027312,NULL
1992,00:36.7,Defense,Navy,Time and Materials,940225222,NULL
1992,00:36.7,Defense,Other DoD,Cost Plus Award Fee,759894835,NULL
1992,00:36.7,Defense,Other DoD,Firm Fixed Price,2521759294,NULL
1993,00:36.7,Defense,Air Force,Cost No Fee,787859402,NULL
1993,00:36.7,Defense,Air Force,Cost Plus Incentive,1580027200,NULL
1993,00:36.7,Defense,Army,Cost No Fee,563523584,NULL
1993,00:36.7,Defense,Army,Cost Plus Incentive,2095855555,NULL
1993,00:36.7,Defense,Army,Cost Sharing,54695177,NULL
1993,00:36.7,Defense,Navy,Fixed Price Incentive,3821777494,67
1993,00:36.7,Defense,Navy,Time and Materials,828344952,101
1993,00:36.7,Defense,Other DoD,Cost Plus Award Fee,482741644,NULL
1993,00:36.7,Defense,Other DoD,Cost Sharing,40443750,NULL
1994,00:36.7,Defense,Army,Cost No Fee,303328479,859
1994,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,122438807,637
1994,00:36.7,Defense,MDA,Cost No Fee,4421982,15
1994,00:36.7,Defense,Other DoD,Cost Plus Incentive,79994008,45
1995,00:36.7,Defense,Air Force,Cost Sharing,66717455,179
1995,00:36.7,Defense,Air Force,Fixed Price Incentive,4129778544,1349
1995,00:36.7,Defense,DLA,Cost Sharing,7164018,4
1995,00:36.7,Defense,DLA,Fixed Price Incentive,-2328892,14
1995,00:36.7,Defense,MDA,Cost No Fee,3909373,15
1995,00:36.7,Defense,Navy,NULL,1850318372,2108
NULL,00:36.7,Defense,Other DoD,NULL,NULL,NULL
1988,00:36.7,Defense,Navy,NULL,53000,NULL
1988,00:36.7,Defense,Navy,Firm Fixed Price,5564670,NULL
1988,00:36.7,Defense,Other DoD,Time and Materials,58000,NULL
1989,00:36.7,Defense,Navy,Cost Plus Award Fee,33603000,NULL
1989,00:36.7,Defense,Other DoD,Cost No Fee,330000,NULL
1989,00:36.7,Defense,Other DoD,Labor Hours,8000,NULL
1990,00:36.7,Defense,Air Force,NULL,8182836000,NULL
1990,00:36.7,Defense,Air Force,Fixed Price Redetermination,437917000,NULL
1990,00:36.7,Defense,Army,NULL,6517794000,NULL
1990,00:36.7,Defense,Army,Labor Hours,8371000,NULL
1990,00:36.7,Defense,DLA,NULL,5942495000,NULL
1990,00:36.7,Defense,DLA,Cost No Fee,9454000,NULL
1990,00:36.7,Defense,DLA,Labor Hours,14584000,NULL
1990,00:36.7,Defense,Navy,Firm Fixed Price,19150174041,NULL
1990,00:36.7,Defense,Navy,Fixed Price Redetermination,40697000,NULL
1990,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,521000,NULL
1990,00:36.7,Defense,Other DoD,Time and Materials,17767000,NULL
1991,00:36.7,Defense,Air Force,Firm Fixed Price,22197220000,NULL
1991,00:36.7,Defense,Army,Fixed Price Incentive,228975000,NULL
1991,00:36.7,Defense,Army,Time and Materials,604170000,NULL
1991,00:36.7,Defense,DLA,Fixed Price with Economic Price Adjustment,6074384000,NULL
1991,00:36.7,Defense,DLA,Time and Materials,5770000,NULL
1991,00:36.7,Defense,Navy,Cost Plus Award Fee,1305995362,NULL
1991,00:36.7,Defense,Navy,Cost Plus Fixed Fee,5816356033,2
1991,00:36.7,Defense,Other DoD,Fixed Price Incentive,137333000,NULL
1992,00:36.7,Defense,Air Force,Fixed Price Redetermination,27198531,NULL
1992,00:36.7,Defense,Army,NULL,2118118281,NULL
1992,00:36.7,Defense,Army,Labor Hours,22598101,NULL
1992,00:36.7,Defense,DLA,NULL,55948278,NULL
1992,00:36.7,Defense,DLA,Labor Hours,1743337,NULL
1992,00:36.7,Defense,Navy,Fixed Price Redetermination,52526032,NULL
1993,00:36.7,Defense,Air Force,Firm Fixed Price,15148348572,NULL
1993,00:36.7,Defense,Army,Time and Materials,805348984,NULL
1993,00:36.7,Defense,DLA,Time and Materials,16366591,NULL
1993,00:36.7,Defense,Navy,Cost Plus Fixed Fee,7524536689,160
1993,00:36.7,Defense,Other DoD,Fixed Price Incentive,138071626,NULL
1994,00:36.7,Defense,Air Force,Cost Plus Award Fee,5055068098,2260
1994,00:36.7,Defense,Army,Fixed Price Redetermination,87813366,121
1994,00:36.7,Defense,DLA,Fixed Price Redetermination,1392706,18
1994,00:36.7,Defense,Navy,Cost Plus Incentive,2733511909,239
1994,00:36.7,Defense,Other DoD,NULL,498185434,228
1995,00:36.7,Defense,Air Force,Firm Fixed Price,14726079945,41247
1995,00:36.7,Defense,Army,Cost Plus Fixed Fee,3874880793,6437
1995,00:36.7,Defense,Army,Firm Fixed Price,16719187086,55112
1995,00:36.7,Defense,DLA,Firm Fixed Price,2889977012,19749
1995,00:36.7,Defense,MDA,Cost Plus Fixed Fee,211061611,239
1995,00:36.7,Defense,MDA,Firm Fixed Price,15462431,26
1995,00:36.7,Defense,Navy,Fixed Price Incentive,5973665798,1602
1995,00:36.7,Defense,Other DoD,Cost No Fee,51751023,48
1995,00:36.7,Defense,Other DoD,Cost Sharing,130783104,18
1995,00:36.7,Defense,Other DoD,Labor Hours,8291400,28
1996,00:36.7,Defense,Air Force,NULL,6630211421,2845
1996,00:36.7,Defense,Air Force,Time and Materials,1423366548,3841
1996,00:36.7,Defense,Army,Cost No Fee,461284014,1017
1996,00:36.7,Defense,Army,Fixed Price Incentive,79275055,113
1996,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,443019874,1025
1996,00:36.7,Defense,DLA,Cost Sharing,2230845,6
1996,00:36.7,Defense,DLA,Fixed Price Incentive,1740871,19
1996,00:36.7,Defense,Navy,NULL,1398341149,2141
1996,00:36.7,Defense,Navy,Firm Fixed Price,15543490260,43456
1996,00:36.7,Defense,Other DoD,Cost No Fee,39244808,47
1996,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,318377405,1600
1996,00:36.7,Defense,Other DoD,Labor Hours,7669776,43
1997,00:36.7,Defense,Army,Fixed Price Incentive,74301478,116
