ParentID	FiscalYear	ObligatedAmount	ObligatedAmountIsSmall	PercentIsSmall	LargeGreaterThan3B	MaxOfAnyIsSmall	MinOfAnyIsSmall	MaxOfIsOnePercentPlusSmall	MinOfIsOnePercentPlusSmall	MaxOfAlwaysIsSmall	MinOfAlwaysIsSmall
AMERICAN BUREAU OF SHIPPING	2001	3072357	2233357	0.726919	0	1	1	1	1	0	0
KULLMAN INDUSTRIES	2005	-4079452	0	0	0	0	0	0	0	0	0
"KELLY AEROSPACE, INC [BUSINESS]; LIMCO PIEDMONT, INC [BUSINESS]"	2005	785064	785064	1	0	1	1	1	1	1	1
FORD MOTOR COMPANY	2002	175764574	86148	0.00049	1	1	0	1	0	1	0
CONSOLIDATED EDISON OF NY	2008	11220469.6	0	0	1	0	0	0	0	0	0
TRW [NORTHROP GRUMMAN]	2008	18816450.06	3102087.8	0.16486	1	1	1	1	0	0	0
"VPT, INC [82 5%]"	2005	1567845	1567845	1	0	1	1	1	1	1	1
COLLAZO ENTERPRISES	2011	140266110.2	123261905.9	0.878771	0	1	1	1	1	0	0
ARD/CHECCHI	2004	2025000	0	0	0	0	0	0	0	0	0
SEACOR SMIT	2008	2510869.77	252869.77	0.10071	0	1	1	1	1	0	0
TENNIER INDUSTRIES	1999	28005673	-4834185	-0.172614	0	1	1	0	0	0	0
Thermo Fisher Scientific	2002	44436081	4312632	0.097052	1	1	1	1	0	1	0
SIEMENS	2014	363300211.5	1728749.25	0.004758	1	1	0	1	0	0	0
TRAX International Corporation	2011	162384094.6	0	0	0	0	0	0	0	0	0
ESTERLINE TECHNOLOGIES	2005	81411027	-281308	-0.003455	0	1	1	0	0	0	0
BEARINGPOINT [NORTH AMERICAN PUBLIC SERVICES]	2008	758291500.5	55826904.76	0.073621	1	1	0	1	0	0	0
LAW COMPANIES GROUP	1999	1847606	0	0	0	0	0	0	0	0	0
RIGGS &	2002	1572802	0	0	0	0	0	0	0	0	0
WORK SERVICES	2008	22557044.06	0	0	0	0	0	0	0	0	0
Cort Business Services	2005	9278816.88	7653.55	0.000824	0	1	0	1	0	0	0
DIVERSITY SERVICES	2005	757784.69	754097.19	0.995133	0	1	1	1	1	0	0
Owen Corporation Systems Group	2002	-42599	0	0	0	0	0	0	0	0	0
SAFEGUARD MAINTENANCE	2004	3768668	3768668	1	0	1	1	1	1	1	1
COMMUNITY CONSULTING INTERNATI	2002	971795	845795	0.870343	0	1	1	1	1	0	0
CHL BUSINESS INTERIORS	2014	14348.85	14348.85	1	0	1	1	1	1	0	0
PCB GROUP	2002	675000	675000	1	0	1	1	1	1	1	1
Medimmune	2008	40257801.4	0	0	0	0	0	0	0	0	0
FOUR POINTS TECHNOLOGY	2008	168016768	167913420.1	0.999384	0	1	1	1	1	0	0
BASIC MARINE	2005	6015501.48	6015501.48	1	0	1	1	1	1	1	1
AMERICAN INDUSTRIAL PARTNERS	2014	-21202.5	0	0	0	0	0	0	0	0	0
EMERGENT BIOSOLUTIONS	2005	162398040	39661040	0.244221	0	1	1	1	1	0	0
EXIGEN	2002	212000	212000	1	0	1	1	1	1	1	1
SPONSORED PROGRAMS	2005	3993601	0	0	0	0	0	0	0	0	0
COLLAZO ENTERPRISES	2008	104853810.4	84231010.32	0.803318	0	1	1	1	1	0	0
DEAF HARD OF HEARING SERVICE	2008	20469.34	2644.92	0.129213	0	1	1	1	1	0	0
JOINT VENTURE [THALES/RAYTHEON]	2011	113324895	0	0	1	0	0	0	0	0	0
CALIFORNIA INSTITUTE OF TECHNOLOGY	2002	1393428456	0	0	0	0	0	0	0	0	0
PADCO [AECOM]	2005	17667636.48	0	0	0	0	0	0	0	0	0
MAGNOLIA PLUMBING	2002	210328	0	0	0	0	0	0	0	0	0
Thermo Fisher Scientific	1999	47352914	10334608	0.218246	1	1	0	1	0	0	0
TENNIER INDUSTRIES	2002	48268445	30117208	0.623952	0	1	1	1	1	1	0
HEALTH NET	2011	3145204791	0	0	1	0	0	0	0	0	0
SPONSORED PROGRAMS	2002	6969000	0	0	0	0	0	0	0	0	0
CONCERRO	2011	25310	29810	1.177795	0	1	1	1	1	0	0
UNOVA INDUSTRI	2008	50656	0	0	0	1	1	0	0	0	0
UNITED DEFENSE	2005	2245409939	36749	0.000016	0	1	0	0	0	0	0
ELMA ELECTRONIC	2002	384629	384629	1	0	1	1	1	1	1	1
BEARINGPOINT [NORTH AMERICAN PUBLIC SERVICES]	2005	558538358.4	6015334.19	0.010769	1	1	0	1	0	0	0
ENMRSH	2011	3373315.58	2609953.89	0.773705	0	1	1	1	1	0	0
GOVERNMENT OF THE UNITED STATES	2000	604311	19000	0.03144	0	1	0	1	0	1	0
ORIUS	2001	30000	30000	1	0	1	1	1	1	1	1
RS INFORMATION SYSTEMS	2009	124010529.6	68962517.03	0.556102	0	1	1	1	1	0	0
CORRPRO COMPANIES	2001	1105500	198689	0.179727	0	1	0	1	0	0	0
LOGISTICS MANAGEMENT INSTITUTE	1992	31279320	0	0	0	0	0	0	0	0	0
ADVANCE PRESORT SERVICES	2009	138000	70000	0.507246	0	1	0	1	0	1	0
SPRINT	2006	293302986.6	377846.62	0.001288	1	1	0	1	0	1	0
THE AUSTIN COMPANY	1995	101215	230489	2.277221	0	1	0	1	0	1	0
WHITT CORPAKER	2012	17288870.09	25351.53	0.001466	0	1	1	0	0	0	0
INTERNATIONAL DATA GROUP	2010	98200	98200	1	0	1	1	1	1	1	1
CARRIER	2012	1230744.85	18528.38	0.015054	0	1	0	1	0	0	0
TAMPA ELECTRIC COMPANY	2000	7363949	0	0	0	0	0	0	0	0	0
SELECT ENERGY I	2007	922105	0	0	0	0	0	0	0	0	0
MIDWEST RESEARCH INSTITUTE	2001	240565804	12000	0.000049	0	1	1	0	0	0	0
SOPAKCO	2001	67361438	25689	0.000381	0	1	1	0	0	0	0
PICKERING	2004	14079	5787	0.411037	0	1	0	1	0	1	0
SKE INTERNATIONAL	2012	12437874.68	0	0	0	0	0	0	0	0	0
OCEANEERING INTERNATIONAL	2009	33717878.37	122467.92	0.003632	0	1	0	0	0	0	0
SPECTRUM GROUP INTERNATIONAL	2007	328065920.8	0	0	1	0	0	0	0	0	0
TESORO	2009	306849616.6	6733049.07	0.021942	1	1	0	1	0	0	0
EXPRESS SCRIPTS	2006	158004396.9	55360.06	0.00035	1	1	1	0	0	0	0
ACCURATE AUTOMATION	2004	1762612	1762612	1	0	1	1	1	1	1	1
SGS NORTH AMERICA	2000	291000	0	0	0	0	0	0	0	0	0
TWD & ASSOCIATES	1998	6402286	6402286	1	0	1	1	1	1	1	1
FERMI RESEARCH ALLIANCE	2009	556090183.7	0	0	0	0	0	0	0	0	0
RAYTHEON	1992	2516418976	68722	0.000027	1	1	0	1	0	1	0
LAPI	2003	5885962	5885962	1	0	1	1	1	1	1	1
GVI	2000	105000	105000	1	0	1	1	1	1	0	0
HLY	2001	2236414	0	0	0	0	0	0	0	0	0
BOSTON BIOMEDICA	2001	5973419	5973419	1	0	1	1	1	1	1	1
DELL	2000	539622915.6	30792955	0.057063	1	1	0	1	0	1	0
"PERCEPTEK, INC , EAGLE GROUP INTERNATIONAL, LLC, ACULIGHT CORP , RLM HOLDINGS PTY LTD [50%], NANTERO, INC [FEDERAL GOVERNMENT BUSINESS]"	2010	-27498.39	-27498.39	1	0	1	1	1	1	1	1
AEGIS GROUP PLC	2009	13850869.21	-3516	-0.000253	0	1	1	0	0	0	0
DYNAMIC SYSTEMS	2009	20792639.3	20761662.73	0.99851	0	1	1	1	1	1	0
SEOS	2006	123922	118922	0.959652	0	1	1	1	1	1	0
HARRIS ACOUSTIC PRODUCTS	2006	6290720	6290720	1	0	1	1	1	1	1	1
TAMPA ELECTRIC COMPANY	2003	44597640	0	0	0	0	0	0	0	0	0
HAZELTINE	1992	28449830	0	0	0	0	0	0	0	0	0
PACIFIC TELECOM	2012	1628833.83	0	0	0	0	0	0	0	0	0
CERIDIAN	2001	610655	0	0	0	0	0	0	0	0	0
TDS	2001	31190977.6	12744495.6	0.408595	0	1	1	1	1	0	0
SUPREME GROUP	2012	2829853561	0	0	0	0	0	0	0	0	0
PICKERING	2007	161073	6232	0.03869	0	1	1	1	1	0	0
EATONORAT	2015	20261558.04	0	0	0	0	0	0	0	0	0
MICROSOFT	1995	83000	0	0	1	0	0	0	0	0	0
TEBI	2006	1942783.14	1792782.04	0.92279	0	1	1	1	1	0	0
FOLEY GARSKE	2004	210892	210892	1	0	1	1	1	1	1	1
EQUIFAX	2001	4646600	0	0	0	0	0	0	0	0	0
ADVANCE PRESORT SERVICES	2012	103900	0	0	0	0	0	0	0	0	0
MIDWEST RESEARCH INSTITUTE	2004	224322395.2	0	0	0	0	0	0	0	0	0
CARRIER	2015	721531.6	66460.53	0.09211	0	1	0	1	0	0	0
Hydroid	2008	9750782.41	787712.63	0.080784	0	1	1	1	1	0	0
WRENN HANDLING	2002	14830	14830	1	0	1	1	1	1	1	1
Classified Domestic Contractor	1996	2942679507	146985327	0.049949	0	1	1	1	1	0	0
CITY OF MINOT	2014	-105688.77	0	0	0	0	0	0	0	0	0
BPLW ARCHITECT	2002	15134195.09	0	0	0	0	0	0	0	0	0
RIVIERA FINANCE	2002	86000	86000	1	0	1	1	1	1	1	1
CHOICEPOINT	2007	20232723.08	337550	0.016683	0	1	1	1	1	0	0
ATKINS PLC	2004	218895	49940	0.228145	0	1	1	1	1	0	0
AVID TECHNOLOGY	1998	6603933	760157	0.115106	0	1	0	1	0	1	0
IDEDGE	2006	69160.34	69160.34	1	0	1	1	1	1	1	1
MISSION SUPPORT ALLIANCE [Joint Venture - Lockheed Martin & Jacobs Engineering & Wackenhut Systems]	2009	118902533.6	0	0	1	0	0	0	0	0	0
EDISON INTERNATIONAL	2001	8070000	0	0	0	0	0	0	0	0	0
BETHEL NATIVE	2004	1067073	1067073	1	0	1	1	1	1	1	1
BAVARIAN NORDIC	2015	148742000	0	0	0	1	1	0	0	0	0
GOULD EVANS AFFILIATES	2001	-908675	0	0	0	0	0	0	0	0	0
SUBSYSTEMS TEC	2006	13553484.04	12733746.04	0.939518	0	1	1	1	1	0	0
DMD	2003	9330	9330	1	0	1	1	1	1	1	1
STAPLES	2015	2431332.03	15610.51	0.00642	0	1	1	0	0	0	0
MYTHICS	2009	150890452.4	148982892.8	0.987357	0	1	1	1	1	0	0
AEA TECHNOLOGY PLC	2012	25829712.09	136339.11	0.005278	0	1	1	0	0	0	0
MFM DESIGN	2007	350833.16	350833.16	1	0	1	1	1	1	1	1
OMNICOM	2001	19073177	0	0	0	0	0	0	0	0	0
FUTURA	2003	174300	174300	1	0	1	1	1	1	1	1
MICROTECHNOLOGIES	2012	247901867.7	207041902	0.835176	0	1	0	1	0	1	0
PORT AUTHORITY OF NEW YORK & NEW JERSEY	2003	3960194	93570	0.023627	0	1	1	1	1	0	0
Reed	2006	122320	42828	0.35013	0	1	1	1	1	0	0
UNIVERSITY OF PENNSYLVANIA	1998	1956418	0	0	0	0	0	0	0	0	0
EXIDE ELECTRONICS	2001	48642880.8	44000	0.000904	0	1	0	0	0	0	0
UM	2006	1398685.72	1398685.72	1	0	1	1	1	1	1	1
SUNSHINE EXPRESS	2004	42847.23	42847.23	1	0	1	1	1	1	1	1
WINSTAR HOLDINGS	2003	159599	0	0	0	1	1	0	0	0	0
AVID TECHNOLOGY	1995	2892092	567329	0.196165	0	1	1	1	1	0	0
BAVARIAN NORDIC	2012	41999871	0	0	0	0	0	0	0	0	0
IKON	2002	7702757.67	66466	0.008628	0	1	0	1	0	1	0
AEA TECHNOLOGY PLC	2009	38985662.7	10889929.27	0.279331	0	1	1	1	1	0	0
Beta Analytics	2003	33658654	6218932	0.184764	0	1	1	1	1	0	0
CHOICEPOINT	2004	30429221.74	11500	0.000377	0	1	0	0	0	0	0
MERCURY COMPUTER SYSTEMS	2010	1447246.54	1441740.29	0.996195	0	1	1	1	1	0	0
GRANT THORNTON	2009	134055736.4	555960.2	0.004147	1	1	0	0	0	0	0
MFM DESIGN	2004	239608.8	239608.8	1	0	1	1	1	1	1	1
STAPLES	2012	5028375.39	17935.62	0.003566	0	1	0	1	0	1	0
SAGE TECHNOLOGIES	2009	485451.73	485451.73	1	0	1	1	1	1	1	1
SABRE SYSTEMS	2006	50197182.82	20625979.74	0.410899	0	1	0	1	0	1	0
VERITAS CAPITAL FUND	2012	1090532.45	1090532.45	1	0	1	1	1	1	1	1
EMPIRE PARTNER	2006	30670.75	0	0	0	0	0	0	0	0	0
TRANSDIGM	1995	1788295	1168984	0.653686	0	1	1	1	1	1	0
CLARK CONSTRUCTION	2015	125553327	0	0	1	0	0	0	0	0	0
EXODYNE	2006	69666173.71	0	0	0	0	0	0	0	0	0
KARIN L RUDOLPH	2004	150000	150000	1	0	1	1	1	1	1	1
CENTRA TECHNOLOGY	2015	21725149.22	-0.88	0	0	1	1	0	0	0	0
STRATEGIC STAFFING	2006	5843178.87	5374190.47	0.919737	0	1	1	1	1	0	0
BMT GROUP	2001	81136	50000	0.616249	0	1	1	1	1	0	0
FRU CON HOLDING	2002	6498636	0	0	0	0	0	0	0	0	0
SHOFNER ENGINEERING ASSOC	2008	4200	0	0	0	0	0	0	0	0	0
INTEL	2004	455889	455889	1	1	1	1	1	1	1	1
QIOPTIQ	2011	1469885.7	0	0	0	0	0	0	0	0	0
KOR ELECTRONICS	2011	17262118.52	17246904.52	0.999118	0	1	1	1	1	0	0
US FOODS	2005	180190770.6	2717726.9	0.015082	1	1	0	1	0	1	0
LEWIS WILLIAMS CON & LOGIS	2006	289802	289802	1	0	1	1	1	1	1	1
POST BUCKLEY SCHUH & JERNIGA	2000	10015968	0	0	0	0	0	0	0	0	0
ALLIED TECHNOLOGY GROUP	1998	34616579	34616579	1	0	1	1	1	1	1	1
SARNOFF	2006	45305	8369	0.184725	0	1	1	1	1	0	0
WESTERN FILTER	2004	1108512	902725	0.814357	0	1	1	1	1	0	0
CARMEL MARINA	2009	803795.64	4400.04	0.005474	0	1	1	0	0	0	0
CAPE & COMPANIES	2001	33000	33000	1	0	1	1	1	1	1	1
VT GRIFFIN SERVICES	2015	3520714.27	-157482.7	-0.04473	0	1	0	1	0	1	0
JOHNSON & JOHNSON	2012	33330870.23	3825.75	0.000114	0	1	1	0	0	0	0
SPECTRIS PLC	2009	395485	0	0	0	0	0	0	0	0	0
THE SERVICE MASTER COMPANY	2010	75352.45	29999.99	0.398128	0	1	1	1	1	0	0
UNIVERSITY OF COLORADO	2006	14458694.08	29290.2	0.002025	0	1	0	0	0	0	0
TYBRIN	2009	231484110.4	177622182	0.767319	0	1	1	1	1	0	0
COVENANT AVIATION SECURITY	2012	114038212.6	0	0	0	0	0	0	0	0	0
TOSHIBA	2010	45459474.59	80509.61	0.001771	0	1	0	1	0	0	0
SJ THOMPSON	2003	1445935	1445935	1	0	1	1	1	1	1	1
CONTINENTAL SHELF ASSOCIATES	2000	5219762	5219762	1	0	1	1	1	1	1	1
CATAPULT TECHNOLOGY	2006	44925479.91	36618530.42	0.815094	0	1	1	1	1	0	0
TELTARA 	2004	4730771	3229233	0.682601	0	1	1	1	1	0	0
CORESTAFF SERVICES	2004	3305435.241	33200	0.010044	0	1	0	1	0	0	0
AECOM TECHNOLOGY	2009	375306858.8	149673	0.000398	1	1	0	1	0	0	0
AECOM TECHNOLOGY	2006	347407015.1	20327.24	0.000058	1	1	0	1	0	1	0
WILCO REPROGRA	1998	50792	50792	1	0	1	1	1	1	1	1
PARSONS	1995	71120809	361360	0.00508	0	1	0	1	0	1	0
VFA	2005	2300247.34	1856820.83	0.807226	0	1	1	1	1	1	0
NEW TANGRAM	2015	17555.94	17555.94	1	0	1	1	1	1	1	1
FORMATION	2001	1431751	1431751	1	0	1	1	1	1	1	1
EAGLE INDUSTRIES UNLIMITED	2008	8342374.4	19033.97	0.002281	0	1	1	0	0	0	0
UNITED TECH	1992	2792888913	0	0	1	0	0	0	0	0	0
BRIX	2009	9974631.98	9974631.98	1	0	1	1	1	1	1	1
THE OF MERCER UNIV	2003	420550	0	0	0	0	0	0	0	0	0
WOLVERINE SUPP	2006	66592.63	66592.63	1	0	1	1	1	1	1	1
COSMO OIL COMPANY	2015	142483207.7	0	0	1	0	0	0	0	0	0
FOREIGN UTILITY CONSOLIDATED REPORTING	2012	263055518.3	0	0	1	0	0	0	0	0	0
IL KWANG INDUSTRIAL	2007	16529181.47	0	0	0	0	0	0	0	0	0
CAPE & COMPANIES	2004	24296	24296	1	0	1	1	1	1	1	1
ALCATEL LUCENT	2008	7984248	0	0	1	1	0	0	0	0	0
DNAORATIO	2001	614136	614136	1	0	1	1	1	1	1	1
STEVEN WINTERS	2009	-150655.68	-103676	0.688165	0	1	1	1	1	0	0
FAIRBANKS SCALES	2010	58404.59	19970	0.341925	0	1	0	1	0	0	0
GENERAL DYNAMICS	2001	6461352776	419350713	0.064901	1	1	0	1	0	1	0
SNOW PHIPPS GROUP	2006	17171455.07	11542543.13	0.672193	0	1	1	1	1	0	0
FLIGHTLINE ELECTRONICS	2004	37112011	94744	0.002552	0	1	1	0	0	0	0
GENERAL ELECTRIC	2001	1812745986	17546309.94	0.009679	1	1	0	1	0	1	0
CARDINAL HEALTH	2004	523489261	3534828.82	0.006752	1	1	0	1	0	0	0
GLOBAL COMPUTER ENTERPRISE	2006	26809560.78	26792760.78	0.999373	0	1	1	1	1	0	0
MCR FEDERAL	2014	21250480.09	14401082.5	0.677682	0	1	1	1	1	0	0
MACK	1999	879043	879043	1	0	1	1	1	1	1	1
MERCK	2005	24187953.79	48000	0.001984	1	1	0	1	0	1	0
VARIAN MEDICAL SYSTEMS	2011	28352178.51	362752.12	0.012794	0	1	0	1	0	0	0
PRIMEDIA	2002	2450953	1705953	0.696036	0	1	1	1	1	0	0
PBSJ	2002	799000	0	0	0	0	0	0	0	0	0
UNISYS	2005	818439593.5	6142401	0.007505	1	1	0	0	0	0	0
MEDSTAR HEALTHCARE	2002	1541000	0	0	0	0	0	0	0	0	0
DUN & BRADSTREET	2008	45035328.08	186332.86	0.004137	0	1	0	1	0	1	0
ASSOCIATED MANAGEMENT SERVICES	2002	873000	873000	1	0	1	1	1	1	1	1
UNITED INDUSTRIAL	2002	151322385	0	0	0	0	0	0	0	0	0
CONSTELLATION ENERGY	2005	16219640.65	0	0	1	0	0	0	0	0	0
American Red Cross	2002	21342217	190000	0.008902	0	1	0	1	0	0	0
CHARLES T BRYANT & ASSOCIATES	2004	697130	697130	1	0	1	1	1	1	1	1
EQM	2002	49727179.34	50353080.34	1.012586	0	1	1	1	1	0	0
GTE [VERIZON]	2005	3914808.7	0	0	1	1	0	0	0	0	0
UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION	2004	4301990.08	303287	0.070499	0	1	0	1	0	1	0
OSHKOSH	2002	600132478	140109	0.000233	1	1	1	0	0	0	0
ALEGRADO ESMEDARIUS SAN JUAN	2005	96449	96449	1	0	1	1	1	1	1	1
SRI INTERNATIONAL	2005	137473848	1241200	0.009028	0	1	1	1	0	0	0
PUMYANG CONSTRUCTION	2002	23522062	0	0	0	0	0	0	0	0	0
HITACHI	2011	9580245.56	712762	0.074399	0	1	0	1	0	0	0
THE MICHAEL BA	2002	6978863	52774	0.007561	0	1	1	0	0	0	0
JOINT VENTURE [UT-BATTELLE]	2002	848994549	0	0	1	0	0	0	0	0	0
KUWAIT PETROLEUM	2002	218868055	0	0	1	0	0	0	0	0	0
YAHOO!	2005	336955	8218	0.024389	0	1	0	1	0	0	0
DUKE UNIVERSITY	2005	48242963.83	101005	0.002093	0	1	0	1	0	1	0
COMPUTER SCIENCES	2008	4905958658	168150944.5	0.034274	1	1	0	1	0	1	0
VION	2008	54670131.76	54597367.36	0.998669	0	1	1	1	1	0	0
WOODSIDE HOMES	2008	1651580.55	0	0	0	0	0	0	0	0	0
DATASCOPE	2011	257047.9	17977	0.069936	0	1	0	1	0	0	0
DIVERSIFIED GROUP	2002	685000	0	0	0	0	0	0	0	0	0
SIGMA SYSTEMS	2005	24019.33	3429.33	0.142773	0	1	1	1	1	0	0
OVERSEAS SHIPH	1999	1114986	0	0	0	0	0	0	0	0	0
BOLLINGER SHIPYARDS	2005	3501258.51	3406596.59	0.972963	0	1	1	1	1	0	0
CONSTELLATION ENERGY	2002	360000	0	0	1	0	0	0	0	0	0
BNF TECHNOLOGIES	1996	40000	40000	1	0	1	1	1	1	1	1
GTE [VERIZON]	2008	862238.12	-9291.82	-0.010776	1	1	1	1	1	1	0
AMERICAN MFG	2002	491659	254888	0.518424	0	1	1	1	1	0	0
UNISYS	2008	823873941.4	74431	0.00009	1	1	0	0	0	0	0
MTI	1999	495580	48960	0.098793	0	1	1	1	1	0	0
EQM	1999	1877533	1877533	1	0	1	1	1	1	1	1
ERDAS	2005	15145780.57	8696683.5	0.574198	0	1	1	1	1	0	0
VION	2005	105848623.8	105808623.8	0.999622	0	1	1	1	1	0	0
DUN & BRADSTREET	2011	48786173.29	4475807.76	0.091743	0	1	0	1	0	1	0
COFFEY INTERNATIONAL	2008	139523885.1	389042.85	0.002788	0	1	1	0	0	0	0
JOINT VENTURE [UT-BATTELLE]	2005	944289159	0	0	1	0	0	0	0	0	0
ALEGRADO ESMEDARIUS SAN JUAN	2002	86178	86178	1	0	1	1	1	1	1	1
UNIVERSITY OF FLORIDA	2002	6103618	472000	0.077331	0	1	0	1	0	1	0
SECURITY FORCES	2005	39815.18	39815.18	1	0	1	1	1	1	1	1
PRUDENTIAL	2008	118634605.4	1046160.51	0.008818	1	1	0	1	0	1	0
MICROCOSM	1996	2944012	2944012	1	0	1	1	1	1	1	1
ALIANT COMMUNICATIONS	2006	1353751.65	18721	0.013828	0	1	1	1	1	0	0
JOHN Q HAMMONS HOTELS	2006	774080.04	0	0	0	0	0	0	0	0	0
WILDFLOWER INTERNATIONAL	2000	848000	848000	1	0	1	1	1	1	1	1
NJVC	2004	166998904	166998904	1	0	1	1	1	1	1	1
CHOGGIUNG	2001	24644727	24644727	1	0	1	1	1	1	1	1
RS MEANS COMPANY	2007	1469241.64	248734.11	0.169294	0	1	1	1	1	0	0
INTERNATIONAL OIL TRADING	2005	213991193	0	0	0	0	0	0	0	0	0
HARPER CONSTRUCTION COMPANY	2008	237611420	0	0	0	0	0	0	0	0	0
GATE PETROLEUM COMPANY	1999	1350000	0	0	0	0	0	0	0	0	0
TECUMSEH PROFESSIONAL ASSC	2008	-25156	-25156	1	0	1	1	1	1	1	1
GONZALES CONSULTING SERVICES	2014	383874.84	383874.84	1	0	1	1	1	1	1	1
MOTOR OILCORINTH REFINERIES SA	2011	395618687.5	0	0	1	0	0	0	0	0	0
MOOG CLASS A	2002	53850487	215721	0.004005	0	1	0	0	0	0	0
RED RIVER	2005	14803687.32	13582864.83	0.917532	0	1	1	1	1	0	0
NANA DEVELOPMENT CORP	2005	121683763.6	120434599.1	0.989734	0	1	1	1	1	0	0
PITNEY BOWES	2002	23595307.4	489299	0.020737	0	1	0	1	0	0	0
ELECTRONIC DATA SYSTEMS [HEWLETT PACKARD]	2011	166766042	36966.17	0.000221	1	1	0	1	0	1	0
CENDANT MOBILITY SERVICES	1996	68904	0	0	0	0	0	0	0	0	0
BROOKHAVEN SCIENCE  [BATTELLE/RESEARCH FOUNDATION OF SUNY]	2002	460503850	0	0	1	0	0	0	0	0	0
INTERFACE	2002	2511423.55	243677	0.097027	0	1	0	1	0	0	0
CDW	2005	227363942.6	660440.48	0.002904	1	1	0	0	0	0	0
CHARLES E SMITH MANAGEMENT	2008	618687.62	588160.95	0.950658	0	1	0	1	0	0	0
STRUCTURAL DYN	2011	-2543.75	0	0	0	0	0	0	0	0	0
BAY STATE GAS	1996	292686	0	0	0	0	0	0	0	0	0
ACEPEX MANAGEMENT	2008	23981115.64	23981115.64	1	0	1	1	1	1	1	1
